head above water,"Did you ever picture life like this?. No shooting star to grant your wish. Are you everything you hoped you'd be. Or caught somewhere in between. You dropped your nickel down the wishing well. And prayed for luck to cast it's spell. To bring you closer to your dreams. That always seem just out of reach. You pray to god the moment when. You feel the current pull you in. Tryin' to keep a head above water. Has never been harder. Even when it feels hopeless. You're gonna get through this. Head above water, gotta fight from going under. Even when it feels useless to wish. You're gonna get through this. Have you ever felt like giving in?. Tried for hours, but just can't win. Tell yourself you're not good enough. The struggle alone is just too much. No one's there to hear you scream. You gasp for air but cannot breathe. Did you ever think you'd see the day. When you'd watch your life get washed away. You pray to god the moment when. You feel the current pull you in. Tryin' to keep a head above water. Has never been harder. Even when it feels hopeless. You're gonna get through this. Head above water, gotta fight from going under. Even when it feels useless to wish. You're gonna get through this. Did it ever hurt so bad. That the thought of feeling lost would never end?. Well, you will think again. Tryin' to keep a head above water. Has never been harder. When it feels hopeless. You're gonna get through this. Head above water, gotta fight from going under. Even when it feels useless to wish. You're gonna get through this. . Head above water (never been harder). Tryin' to keep a head above water (has never been harder). You're gonna get through this (x2)"
out of my head,"I... I... I... I... I.... Can't get you out of my head. God knows I've tried. But I just can't forget. Those crazy nights. And all the things that we did. I... I... I... I.... Can't get you out of my head. Maybe it was the way you talked. Maybe it was the way you laughed. I don't know just what it is. But I know I want you back. I... I... I... I... I.... Can't get you out of my head. God knows I've tried. But I just can't forget. Those crazy nights. And all the things that we did. I... I... I... I.... Can't get you out of my head. Maybe it was the way you smiled. Maybe it was the way you kissed. (Yeah, maybe). I don't know just what it is. But I know I don't want this to last. I... I... I... I... I.... Can't get you out of my head. God knows I've tried. But I just can't forget. Those crazy nights. And all the things that we did. I... I... I... I.... Can't get you out of my head. I keep trying to sleep. But I'm lying awake. I'm thinking about the love I filled away (Filled away). But I won't let me go and I need you to know.... That I... I... I... I... I.... I... I... I... I... I... ( I... I... I... I...). Oh, I... I... I... I... I.... Oh, I... I... I... I... I.... Can't get you out of my.... I... I... I... I... I.... Can't get you out of my head. God knows I've tried. But I just can't forget. You're my whole life. I never had at this bed. I... I... I... I.... Can't get you out of my head. Oh, out of my head. Oh, I... I... I... I... I.... Can't get you out of my head. Oh, I... I... I... I... I..."
not meant to be,"It's never enough to say I'm sorry. It's never enough to say I care. But I'm caught between what you wanted from me. And knowing that if I give that to you. I might just disappear. Nobody wins when everyone's losing. It's like one step forward and two steps back. No matter what I do you're always mad. And I, I can't change your mind. I know it's like trying to turn around in a one way street. I can't give you what you want. And it's killing me. And I, I'm starting to see. Maybe we're not meant to be. It's never enough to say I love you. No, it's never enough to say I try. It's hard to believe. That there's no way out for you and me. And it seems to be the story of our lives. Nobody wins when everyone's losing. It's like one step forward and two steps back. No matter what I do you're always mad. And I, I can't change your mind. I know it's like trying to turn around in a one way street. I can't give you what you want. And it's killing me. And I, I'm starting to see. Maybe we're not meant to be. There's still time to turn this around. You could building this up instead of tearing it down. But I keep thinking. Maybe it's too late. It's like one step forward and two steps back. No matter what I do you're always mad. And I, I can't change your mind. I know it's like trying to turn around in a one way street. I can't give you what you want. And it's killing me. And I, I finally see. Maybe we're not meant to be. It's like one step forward and two steps back. No matter what I do you're always mad. And I, baby I'm sorry to see. Maybe we're not meant to be"
b*tch came back,"The b*tch came back the very next day. Oh, the b*tch came back, I thought she was a goner. But, the b*tch came back, she couldn't stay away. Don't you know the b*tch came back?. I like her so much better. when she's down on her knees. Cause when she's in my face. that's when I'm starting to see. That all my friends will laugh. at thinking that we'd be wrong. Well she's so f*ckin' stupid. that she's singing along. The trouble with girls is they're all the same. Forget the diamonds and pearls. they just want a ring. Before you know it you're like a dog on a leash. Well you can try and change the world. but you won't change me. The b*tch came back the very next day. Oh, the b*tch came back, I thought she was a goner. But, the b*tch came back, she couldn't stay away. Don't you know the b*tch came back?. There she goes again just always breaking my balls. No matter what I do somehow it's always my fault. She says I must be cheating. cause I turned off my phone. But that's the only frickin' way. she'll leave me alone. The trouble with girls is is never enough. They love to complain and they never shut up. They like to tell you the way it ought to be. Go on and tell the world but just don't tell me. The b*tch came back the very next day. Oh, the b*tch came back, I thought she was a goner. But, the b*tch came back, she couldn't stay away. Don't you know the b*tch came back?. It ain't a joke when I say I wanna throw you out. (I really mean it, I really mean it). Well look who's laughing now!. The b*tch came, the b*tch came back. The b*tch came, the b*tch came back. The b*tch came, the b*tch came back. She just couldn't stay away. The b*tch came back the very next day. Oh, the b*tch came back, I thought she was a goner. But, the b*tch came back,. she won't stay the f*ck away. (x2). The b*tch came back the very next day. Oh, the b*tch came back, I thought she was a goner. But, the b*tch came back, she couldn't stay away. Don't you know the b*tch came back?"
bad girlfriend,"My girlfriends a dick magnet. My girlfriends gotta have it. She's hot, cant stop,. up on stage doing shots. Tip the man he'll right the bell,. get her drunk she'll scream like hell. Dirty girl, gettin' down,. dance with guys from outta town. Grab her ass, actin' tough,. Mess with her, she'll f**k you up. No on really knows if she's drunk or if she's. stoned, but she's comin' back to my place. tonight!. Oh She likes to shake her ass. She grinds it to the beat. She likes to pull my hair. when I make her grind her teeth. I like to strip her down. She's naughty to the end. You know what she is, no doubt about it. She's a Bad Bad Girlfriend. Red thong, party's on,. love this song,. sing along.. Come together, leave alone,. see you later back at home. No one really knows if shes drunk or. if she's stoned. but she's coming back to my place tonight. I say. No one really knows just how far shes going to go. but im gonna find out later tonight. . Doesn't take her long to make things right. But does it make her wrong. to have the time of her life. The time of her life. My girlfriends a dick magnet. My girlfriends gotta have it. Shes a gold digger. Now you figure out its over,. pull the trigger. Futures finished, there it went,. savings gone,. The money spent. I look around and all I see is. no good, bad and ugly, man, she's hot,. fixed to be the future ex-Miss Connolly!"
santa monica,"She fills my bed with gasoline. You think I wouldn't notice. Her mind's made up. Her love is gone. I think someone's trying to show us a sign. That even if we thought it would last. The moment would pass. My bones will break and my heart would give. Oh, it hurts to live. And I remember the day when you left for Santa Monica. You left me to remain with all your excuses for everything. And I remember the time when you left for Santa Monica. And I remember the day you told me it's over. It hurts to breathe. Well every time that you're not next to me. Her mind's made up. The girl is gone. And now I'm forced to see. I think I'm on my way. Oh, it hurts to live today. Oh and she says ""Don't you wish you were dead like me?"". And I remember the day when you left for Santa Monica. You left me to remain with all your excuses for everything. And I remember the time when you left for Santa Monica. And I remember the day you told me it's over. I wanted more than this. I needed more than this. I could use of more than this. But it just won't stop. It just won't go away. I needed more than this. I wanted more than this. I asked for more than this. But it just won't stop. It just won't go away. And I remember the day when you left for Santa Monica. You left me to remain with all your excuses for everything. And I remember the time when you left it all behind. And I remember the day you told me it's over. And I remember the day when you left for Santa Monica. You left me to remain with all your excuses for everything. And I remember the time when you left for Santa Monica. Yeah, I remember the day you told me it's over. Rita Sartori."
above this,"They try to kill the president. They try to put a shiny bullet in his head. He leave a resident. He couldn't pay the bill and wound up dead. I am not above this. Who put these thoughts in my head, in my head?. I could grow to love this. Who put this gun in my hand, in my hand?. They want to know where the money went. They'll break a bone for every dime you spent. They'll cut your throat for the hell of it. They're going to cover you in wet cement. I am not above this. Who put these thoughts in my head, in my head?. I could grow to love this. Who put this gun in my hand, in my hand?. With lives in his hands. I see why he loves this. He thinks he's a God. Not even God is above this. Now you see why I couldn't love this. I am not above this. Who put these thoughts in my head, in my head?. I am not above this. Who put this gun in my hand, in my hand?. I could grow to love this. Who put this gun in my hand, in my hand?"
all or nothing,When I first saw you standing there. You know it was a little hard not to stare. So nervous when I drove you home. I know being apart is a little hard to bare.. Send some flowers to your work an home. So that I will have you in my arms again. We kissed that night before I left. And now thats something. I could never forget. You've got all that I need. Looking at all or nothing. Babe it`s you and I. With you I know that. I am good for something. So lets go give it a try. We got our backs against the ocean. It`s just us against the world. Looking at all or nothing. Babe it`s you and I. Looking at all or nothing. Babe it`s you and I. Lets take a chance go far away today. And never look back again. Since I said I loved you in Las vegas. It`s never been the same since then. You've got all that I need. Looking at all or nothing. Babe it`s you and I. With you I know. I am good for something. So lets go give it a try. We got our backs against the ocean. It`s just us against the world. Looking at all or nothing. Babe it`s you and I. Looking at all or nothing. Babe it`s you and I. This is it nothing to hide. One more kiss never say goodbye. This is it babe your all mine. Looking at all or nothing. Babe it`s you and I. I know that i am good for something. So lets go give it a try. We got our backs against the ocean. It`s just us against the world. Looking at all or nothing. Babe it`s you and I. With you I know that. I am good for something. So lets go give it a try. We got our backs against the ocean. It`s just us against the world. Looking at all or nothing. Babe it`s you and I. Looking at all or nothing. Babe it`s you and I. Babe it`s you and I
angel,I'm in love with an angel. Heaven forbid. Make me a believer. With the touch of her skin. I'd go to hell and back with you. Stay lost in what we found. Worlds apart. We were the same. Until we hit the ground. Maybe I'm crazy. Maybe I'm weak. Maybe I'm blinded by what I see. You wanted a soldier. But it wasn't me. Cuz I could never set you free. So fly. On your own. It's time I let you go. Go. I'm in love with an angel. Who's afraid of the night. Her halo is broken. But there's fight in her eyes. Walls are built to keep us safe. Until they're crashing down. Worlds apart. We were the same. Until you hit the ground. Maybe I'm crazy. Maybe I'm weak. Maybe I'm blinded by what I see. You wanted a soldier. But it wasn't me. Cuz I could never set you free. So fly. On your own. It's time I let you go. Go. Walls are built to keep us safe. Until they're crashing down. Worlds apart. We were the same. Until you hit the ground. Maybe I'm crazy. Maybe I'm weak. Maybe I'm blinded by what I see. You wanted a soldier. But it wasn't me. Cuz I could never set you free. So fly. On your own. It's time I let you go. So fly. On your own. It's time I let you go. Go
any other way,"Any Other Way. You've tried to open your mouth but only shit would. come out. I always wondered where you got it from. You haven't heard a damn word I've said,. you never believed in anything I did. I don't care what you're doing, do what you want to,. look where it got you. You can't help yourself. I know you'll never change. You say you don't need anyone. And wouldn't have it any other way. Just try to open your eyes and try my life on for. size. I always wondered who you're hiding from. You haven't heard a damn word I've said,. you never believed in anything I did. I don't care who you're doing, do who you want to,. look what it got you. Well you can't help yourself. I know you'll never change. You say you don't need anyone. And wouldn't have it any other way. Oh you made a big mistake, and won't admit it. You say you don't need anyone. Oh you made a big mistake, so don't forget it. I know you'll never change. and wouldn't have it any other way. You can't help yourself. I know you'll never change. You say you don't need anyone. You say you don't need anyone. You say you don't need anyone. You've tried to open your mind and leave your last. life behind. I always wondered what you're running from. Oh you made a big mistake, and won't admit it. You say you don't need anyone. Oh you made a big mistake, so don't forget it. I know you'll never change. and wouldn't have it any other way. You say you don't need anyone, anyway. You say you don't need anyone. and wouldn't have it any other way. You say you don't need anyone, anyway. You say you don't need anyone. and wouldn't have it any other way"
