courtesy call,"-Hey-O here comes the danger up in this club. When we get started and we ain't gonna stop. We gonna turn it out till it gets too hot. Everybody saying heyo. Tell 'em turn it up till they can't no more. Let's get this thing shaking like a disco ball. This is your last warning, a courtesy call. Hey-o (hey-o). Here comes the danger up in this club. When we get started and we ain't gonna stop. We gonna turn it up till it gets too hot. Everybody saying hey-o (hey-o). Tell 'em turn it up till they can't no more. Let's get this thing shaking like a disco ball. This is your last warning, a courtesy call. I am not afraid of the storm that comes my way. When it hits it shakes me to. The core and makes me stronger then before. Its not a question about trust but will you stand with us. Can you feel it make it real. I think it might wash away tonight. Awaken from this never ending. Fight it takes more then meets the eye.. This war we're fighting is not just rotting. Hey-o (hey-o). Here comes the danger up in this club. When we get started and we ain't gonna stop. We gonna turn it up till it gets too hot. Everybody saying hey-o (hey-o). Tell 'em turn it up till they can't no more. Let's get this thing shaking like a disco ball. This is your last warning, a courtesy call. There's a rumble in the floor,so get prepared for war.. When it hits, it'll knock you to the ground,. When it shakes up everything around. But survival is a must. So will you stand with us. Can you feel it. Make it real. (make me feel it). I think it might wash away tonight. Awaken from this never ending. Fight it takes more then meets the eye. This world we're fighting is not just rotting. Heyooo here comes the danger up in this club. When we get started and we aint gonna stop. We gonna turn it up 'till it gets too hot. Everybody sayin heyoo. Tell 'em turn it up till they can't no more. Let's get this thing shaking like a disco ball. This is your last warning, a courtesy call. Hey-o (hey-o). Here comes the danger up in this club. When we get started and we ain't gonna stop. Everybody sayin heyo (heyo). Tell 'em turn it up till they can't no more. Let's get this thing shaking like a disco ball. This is your last warning, a courtesy call"
be somebody,"I'm just the boy inside the man. Not exactly who you think I am. Trying to trace my steps back here again. So many times. I'm just a speck inside your head. You came and made me who I am. I remember where it all began. So clearly. I feel a million miles away. Still you connect me in your way. And you create in me. Something I would've never seen. When I could only see the floor. You made my window a door. So when they say they don't believe. I hope that they see you in me. After all the lights go down. I'm just the words you are the sound. A strange type of chemistry. How you've become a part of me. And when I sit alone at night. Your thoughts burn through me like a fire. You're the only one who knows who I really am. We all wanna be somebody. We just need a taste of who we are. We all wanna be somebody. We're willing to go but not that far. And we're all see through, just like glass. And we can shatter just as fast. That light's been burned out for a while. I still see it every time I pass. It was lost in the corners of my mind. Behind a box of reasons why. I never doubted it was there. It just took a little time to find. (And even when). I feel a million miles away. Still you connect me in your way. And you create in me something. I would've never seen. When I could only see the floor. You made my window a door. So when they say they don't believe. I hope that they see you in me. After all the lights go down. I'm just the words you are the sound. A strange type of chemistry. How you've become a part of me. And when I sit alone at night. Your thoughts burn through me like a fire. You're the only one who knows who I really am. We all wanna be somebody. We just need a taste of who we are. We all wanna be somebody. We're willing to go but not that far. We all wanna be somebody. We just need a taste of who we are. We all wanna be somebody. We're willing to go but not that far. I'm just the boy inside the man. Not exactly who you think I am. Trying to trace my steps back here again. So many times. When I could only see the floor. You made my window a door. So when they say they don't believe. I hope that they see you in me"
war of change,"It's a truth that in love and war,. World's collide and hearts get broken,. I want to live like i know i'm dying,. Take up my cross, not be afraid. Is it true what they say, that words are weapons?. And if it is,then everybody best stop steppin',. Cause i got ten in my pocket that'll bend ya locket,. I'm tired of all these rockers sayin' come with me,. Wait, it's just about to break, its more than i can take,. Everything's about to change,. I feel it in my veins, its not going away,. Everything's about to change.. It creeps in like a thief in the night,. Without a sign, without a warning,. But we are ready and prepared to fight,. Raise up your swords, don't be afraid. Is it true what they say, that words are weapons?. And if it is,then everybody best stop steppin',. Cause i got ten in my pocket that'll bend ya locket,. I'm tired of all these rockers sayin' come with me,. Wait, it's just about to break, its more than i can take,. Everything's about to change,. I feel it in my veins, its not going away,. Everything's about to change. This is a warning, like it or not,. I break down, like a record spinning,. Gotta get up,. So back off. This is a warning, like it or not,. I'm tired of listenin', i'm warning you, don't try to get up. There's a war going on inside of me tonight (don't be afraid) 2x. Wait, it's just about to break, its more than i can take,. Everything's about to change,. I feel it in my veins, its not going away,. Everything's about to change,. It's just about to break, its more than i can take,. Everything's about to change,. I feel it in my veins, its not going away,. Everything's about to change."
phenomenon,"If you're like us, calling all riders. Roll up beside us, no place to hide us. All freedom fighters, let's unite us. Switch on your nitrous and… let's… go.... Destination for navigation. Man up ya stations, feel the sensation. Surround invasion with communication. Move quick, we might avoid contamination. Down, here comes the sound. Everyone pound your feet to this Phenomenon. Now, let's make it loud. Let's show ’em all how you move to this Phenomenon. Roll, open your soul. Maybe lose control inside of this Phenomenon. Just let yourself go. And let everyone know you move to this Phenomenon. Don't let these spiders crawl up beside us. They want to bite us, inject the virus. Raise up your lighters, praise to the Righteous. We need You to guide us. Get prepared to go!. If you're like us, calling all riders. Roll up beside us, no place to hide us. All freedom fighters, let's unite us. Switch on your nitrous and… let's… go.... Down, here comes the sound. Everyone pound your feet to this Phenomenon. Now, let's make it loud. Let's show ’em all how you move to this Phenomenon. Roll, open your soul. Maybe lose control inside of this Phenomenon. Just let yourself go. And let everyone know you move to this Phenomenon. Can't take it anymore, shake until we move the floor. What are we waiting for? Let's… go…. I'm tired of being ordinary, don't care if there's people staring. I'll rely on Your strength to carry me on. I'm not invisible like you. Next time things get a little messed up. I'll shine, but I'll never be see-through. I'm fine just trying to wake the rest up. Down, here comes the sound. Everyone pound your feet to this Phenomenon. Now, let's make it loud. Let's show ’em all how you move to this Phenomenon. Roll, open your soul. Maybe lose control inside of this Phenomenon. Just let yourself go. And let everyone know you move to this Phenomenon. You move to this Phenomenon. You move to this Phenomenon"
e for extinction,"I'm not the same as yesterday. Ooh...It's hard to explain. How things have changed. But I'm not the same as before. And I know there's so much more ahead. I can barely believe that I'm here. And I won't surrender quietly. Step up and watch me go. Break down, ya really want it?. Wanna make a scene?. Show me what ya mean. Let's get it started. Let me see whatcha got. Can ya take it up a knotch?. Don't think you got it. Can't handle the pressure?. Get, off, stop talkin' about it. Gotta make this count, let's go. When we move. We camouflage ourselves. We stand in the shadows waiting. We live for this and nothing more. We are what You created. I can feel the storm. The winds have changed. Ooh...'Cause we're worlds a part. But just the same. But we won't leave the way that we came. And I know there's so much more ahead. I can barely believe that we're here. We won't surrender quietly. Step up and watch it go. Are you ready? Are ya ready?. Are ya ready for me?. Are you ready? Are ya ready?. Are ya ready to see?"
lifeline,"Cut me like those words you throw. Console me when you want control. Roll me in those lies you've told. But I won't play these games no more and. (don't run and hide, stand up and fight). I'm feeling like just letting go. (it's shaking your mind, with cause and divide). It's taking everything I know. (don't run and hide, stand up inside). The wheels keep burning. I'm about ready to blow!. When I get angry. I feel weak. And hear these voices in my head. Telling me to. Fall beneath. Cause they'll make everything ok. How did I get here?. Everything's unclear. I never meant to cause you pain. Give me a reason. I can believe in. I need it all this time. Send me a lifeline. Wave if it makes you look good. Smile when you feel like you should. It's hard not to treat this like I could. Heaven help me, it's overwhelming. (don't run and hide, stand up and fight). I'm feeling like just letting go. (it's shaking your mind, with cause and divide). It's taking everything I know. (don't run and hide, stand up inside). The wheels keep burning. I'm about ready to blow!. When I get angry. I feel weak. And hear these voices in my head. Telling me to. Fall beneath. Cause they'll make everything ok. How did I get here?. Everything's unclear. I never meant to cause you pain. Give me a reason. I can believe in. I need it all this time. Send me a lifeline. . When I get angry. I feel weak. And hear these voices in my head. Telling me to. Fall beneath. Cause they'll make everything ok. How did I get here?. Everything's unclear. I never meant to cause you pain. Give me a reason. I can believe in. I need it all this time. Send me a lifeline"
fly on the wall,"The other night. I had a dream. There was a world full of kings and queens. But it was cold. Dark as the night. We were the fire under moonlit skies. We weren't divided. We were the same. And we were free. But we all wore chains. We couldn't see it. But we created. A place between truth and overrated. If I could just see it all. Just like a fly on the wall. Would I be able to accept what I can't control?. And would I share what I saw?. Or just sit back and ignore. Like nothing never happened. Haven't seen you before?. I'm on the run from a thief. I let into my head. I know. I hold the keys. So don't be scared when I turn and shout:. I don't think I need you anymore. Take your words, and your lies and just beat it!. I don't think I need you anymore. Take the hurt and the pain, I don't need it!. I wanna live, I wanna be the change. We can all be kings and queens. If we can just learn to believe. If we can just learn to believe. We had a plan. To build a wall. A great divide that would never fall. To separate us. From all the pain. And keep the skeletons locked away. And brick by brick. We built it so thick. That it blacked out the sky and all the sunlight. And one by one. We all became numb. We were making the bullets to a broken gun. If I could just see it all. Just like the fly on the wall. Would I be able to accept what I can't control?. And would I share what I saw?. Or just sit back and ignore. Like nothing never happened. And I haven't seen you before?. I'm on the run from a thief. I let into my head. I know. I hold the keys. So don't be scared when I turn and shout:. I don't think I need you anymore. Take your words, and your lies and just beat it!. I don't think I need you anymore. Take the hurt and the pain, I don't need it!. I wanna live, I wanna be the change. We can all be kings and queens. If we can just learn to believe. If we can just learn to believe. I don't think I need you anymore. Take your words, and your lies and just beat it!. I don't think I need you anymore. Take the hurt and the pain, I don't need it!. I wanna live, I wanna be the change. We can all be kings and queens. If we can just learn to believe. If we can just learn to believe"
untraveled road,"Hold on for a second. If words can be weapons. Then what I say can effect it. They're not just words on a record. And I can choose to respect it. Or choose to infect it. But once that hits the water. It's too late to be selective. If one voice is enough. To make sleeping giants wake up. To make armies put their hands up. And watch whole nations stand up. It's one belief, one spark. One faith and one restart. And we can reboot the whole chart. Before it all falls apart. So stand up, shout it out. We can put 'em in the air if you like it loud. We only got one shot, so let's make it count. It's a take down, nobody can stop us now. Stand up, shout it out. Sing it loud, so the world can't drown us out. And before we depart let's leave a mark. Cause light shines brighter in the dark. When we scream. Our lips don't make a sound. We march with feet on solid ground. We walk, where no one wants to go. On this untraveled road. So hold on for a moment. If we're not scared of opponents. Then with what we have we can own it. We just plant the seed and keep groan'in. They'll still be wakin' up yawnin'. We'll be smilin' like we expected. Sweet victory, one method. If one voice is enough. To make sleeping giants wake up. To make armies put their hands up. And watch whole nations stand up. It's one belief, one spark. One faith and one restart. And we can reboot the whole chart. Before it all falls apart. So stand up, shout it out. We can put 'em in the air if you like it loud. We only got one shot, so let's make it count. It's a take down, nobody can stop us now. Stand up, shout it out. Sing it loud, so the world can't drown us out. And before we depart let's leave a mark. Cause light shines brighter in the dark. When we scream. Our lips don't make a sound. We march with feet on solid ground. We walk, where no one wants to go. On this untraveled road. And I can choose to respect it. Or choose to infect it. But once that hits the water. It's too late to be selective. If one voice is enough. To make sleeping giants wake up. To make armies put their hands up. And watch whole nations stand up. It's one belief, one spark. One faith and one restart. And we can reboot the whole chart. Before it all falls apart. When we scream. Our lips don't make a sound. We march with feet on solid ground. We walk, where no one wants to go. On this untraveled road. On this untraveled road"
down,I don't want to maintain insane. Get it up. You always play the blame game. No shame I've had enough. I don't want to maintain insane. Get it up. You always play the blame game. No shame I've had enough. Fresher like it's the first semester. Rock it like queen when I'm under pressure. While the rest of the cats fiesta. I get loose like change when it's on your dresser. Boom here comes the real volume. Had enough to wake up and shake this tomb. I can act like skate decks and concrete rooms. You're about to face what makes this move. People used to tell me that I'm on my own. They said I'd never make difference on this microphone. Because there's a million other people who can sing this song. I said well thanks for the push because you all were wrong. You want a drug to take me under. I'll never bow until I'm six feet under. Listen to the sound of rolling thunder. You can't break me. You'll never take me down. Explosion dig it like rust croatian. When it goes it gushes like a busted nose. Competitors I was born to set it off. They wrapped me cloth I grabbed a mic and went on tour. Smash it back in school I was hazard. Because I never saw the glass man I just looked past it. Had a passion to burn like battery acid. Peter parker bit by some radioactive. People used to tell me that I'm on my own. They said I'd never make difference on this microphone. Because there's a million other people who can sing this song. I said well thanks for the push because you all were wrong. You want a drug to take me under. I'll never bow until I'm six feet under. Listen to the sound of rolling thunder. You can't break me. You'll never take me down. If you want to rise up start with me. If you want to stand up here's one for free. If you want to rise up start with me. If you want to stand up here's one for free. If you want to rise up start with me. If you want to stand up here's one for free. If you want to rise up start with me. If you want to stand up here's one for free. Feel the movement. Feel the pressure. Feel the movement. Feel the pressure. Feel the movement. Feel the pressure. You want to try to take me under. I'll never bow until I'm six feet under. Listen to the sound of rolling thunder. You can't break me. You'll never take me down. You want a try to take me under. I'll never bow until I'm six feet under. Listen to the sound of rolling thunder. You can't break me. You'll never take me down
take it out on me,"I don't know, I don't know, I don't know anymore. Thought I had, thought I had it under control. Hear my voice, there it goes, hear it louder than most. Here it goes, hear it, 1, 2, 3, 4. It's not worth it, it's not working. You wanted it to be picture perfect. It's not over. You don't have to throw it away. So scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, smash if it helps you. Get control, take it out on me. So scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, smash if it helps you. Get control. You try to move, try to move, try but you don't wanna lose. So afraid, so afraid, you don't want it to fade. Hear my voice, here it goes, hear it louder than most. Let it go, let it 1, 2, 3, 4. It's not worth it, it's not working. You wanted it to be picture perfect. It's not over. You don't have to throw it away. So scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, smash if it helps you. Get control, take it out on me. So scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, smash if it helps you. Get control. 1, 2, 3, 4. It's not worth it, it's not working. You wanted it to be picture perfect. It's not over. You don't have to throw it away. So scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, smash if it helps you. Get control, take it out on me. Scream if you wanna, shout if you need. Just let it go, take it out on me. Run if you need to, snap if you have to. Get control"
breathe you in,"Taking hold, breaking in. The pressures on, need to circulate. Mesmerized and taken in. Moving slow, so it reasonates. It's time to rest, not to sleep away. My thoughts alone, try to complicate. I'll do my best, to seek you out. And be myself, not impersonate. Tried so hard to not walk away. And when things don't go my way. I'll still carry on and on just the same. I've always been strong. But can't make this happen. 'Cause I need to breathe, I want to breathe you in. The fear of becoming. I'm so tired of running. And I need to breathe, I want to breathe you in. I want to breathe you in. I'm going in, so cover me. Your compass will, help me turn the page. The laughing stock I'll never be. Because I won't let them take me. Tried so hard to not walk away. And when things don't go my way. I'll still carry on and on just the same. I've always been strong. But can't make this happen. 'Cause I need to breathe, I want to breathe you in. The fear of becoming. I'm so tired of running. And I need to breathe, I want to breathe you in. I want to breathe you in. Took awhile to see all the love that's around me. Through the highs and lows there's a truth that I've known. And it's You.. Yeah!. I've always been strong. But can't make this happen. 'Cause I need to breathe, I want to breathe you in. The fear of becoming. I'm so tired of running. And I need to breathe, I want to breathe you in. I want to breathe you in. I want to breathe you in.... I want to breathe you in.... I want you, I want you.. I want to breathe you in.... I want to breathe you in.... I wanna breathe.. want you, want you.. I wanna breathe...(I wanna breathe you in). I wanna breathe.. (I wanna breathe you in)"
