i hate everything about you,Every time we lie awake. After every hit we take. Every feeling that I get. But I haven't missed you yet. Every roommate kept awake. By every sigh and scream we make. All the feelings that I get. But I still don't miss you yet. Only when I stop to think about it. I hate everything about you. Why do I love you?!. I hate everything about you. Why do I love you?!. Every time we lie awake. After every hit we take. Every feeling that I get. But I haven't missed you yet. Only when I stop to think about it. I hate everything about you. Why do I love you?!. I hate everything about you. Why do I love you?!. Only when I stop to think about you. I know. Only when you stop to think about me. Do you know?. I hate everything about you. Why do I love you?!. You hate everything about me. Why do you love me?!. I hate. You hate. I hate. You love me!. I hate everything about you. Why do I love you?
never too late,This world will never be. What I expected. And if I don't belong. Who would have guessed it. I will not leave alone. Everything that I own. To make you feel like. it's not too late. It's never too late. Even if I say. It'll be alright. Still I hear you say. You want to end your life. Now and again we try. To just stay alive. Maybe we'll turn it all around. 'Cause it's not too late. It's never too late. No one will ever see. This side reflected. And if there's something wrong. Who would have guessed it. And I have left alone. Everything that I own. To make you feel like. It's not too late. It's never too late. Even if I say. It'll be alright. Still I hear you say. You want to end your life. Now and again we try. To just stay alive. Maybe we'll turn it all around. 'Cause it's not too late. It's never too late. The world we knew. Won't come back. The time we've lost. Can't get back. The life we had. Won't be ours again. This world will never be. What I expected. And if I don't belong. Even if I say. It'll be alright. Still I hear you say. You want to end your life. Now and again we try. To just stay alive. Maybe we'll turn it all around. 'Cause it's not too late. It's never too late. Maybe we'll turn it all around. 'Cause it's not too late. It's never too late. (It's never too late). It's not too late. It's never too late
animal i have become,"I can't escape this hell. So many times I've tried. But I'm still caged inside. Somebody get me through this nightmare. I can't control myself. So what if you can see. the darkest side of me?. No one would ever change. this animal I have become. Help me believe. it's not the real me. Somebody help me tame this animal. (This animal, this animal). I can't escape myself. (I can't escape myself). So many times I've lied. (So many times I've lied). But there's still rage inside. Somebody get me through this nightmare. I can't control myself. So what if you can see. the darkest side of me?. No one would ever change. this animal I have become. Help me believe. it's not the real me. Somebody help me tame. this animal I have become. Help me believe. it's not the real me. Somebody help me tame this animal. Somebody help me through this nightmare. I can't control myself. Somebody wake me from this nightmare. I can't escape this hell. This animal [x7]. So what if you can see. the darkest side of me?. No one will ever change. this animal I have become. Help me believe. it's not the real me. Somebody help me tame. this animal I have become. Help me believe. it's not the real me. Somebody help me tame this animal. (This animal I have become)"
pain,"Pain, without love. Pain, I can't get enough. Pain, I like it rough. 'Cause I'd rather feel pain than nothing at all. You're sick of feeling numb. You're not the only one. I'll take you by the hand. And I'll show you a world that you can understand. This life is filled with hurt. When happiness doesn't work. Trust me and take my hand. When the lights go out you will understand. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Anger and agony. Are better than misery. Trust me I've got a plan. When the lights go off you will understand. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing. Rather feel pain. I know (I know I know I know I know). That you're wounded. You know (You know you know you know you know). That I'm here to save you. You know (You know you know you know you know). I'm always here for you. I know (I know I know I know I know). That you'll thank me later. Pain, without love. Pain, can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Pain, without love. Pain, I can't get enough. Pain, I like rough. 'Cause I'd rather feel pain than nothing at all. Rather feel pain than nothing at all. Rather feel pain"
infra-red,"(From the darkness, I see the light in you). Don't stress, don't stress. No one knows what goes on in our heads (our heads). We are invisible to the rest (the rest). They don't know nothing 'bout what we have (we have). 'Cause everyone's living in black and white. But we see each other in a different light. Infra-red!. I know that you're burning out for me. Fire in your bloodstream. Moving through you at light-speed. I see you, I see you. In infra-red!. The key to the light in the way you move. Like nobody else is in the room. I see you, I see you. It's okay, okay. They won't understand us anyway, no. You and I are on a different wave. So, doesn't even matter what they say (no). 'Cause everyone's living in black and white. But we see each other in a different light. Infra-red!. I know that you're burning out for me. Fire in your bloodstream. Moving through you at light-speed. I see you, I see you. In infra-red!. The key to the light in the way you move. Like nobody else is in the room. I see you, I see you. 'Cause everyone's living in black and white. But we see each other in a different light. That's why I look at you like I do. Like nobody else is even in the room. (We see each other in a different light). Infra-red!. I know that you're burning out for me. Fire in your bloodstream. Moving through you at light-speed. I see you, I see you. In infra-red!. The key to the light in the way you move. Like nobody else is in the room. If you fall into me, I fall into you. I see you, I see you"
riot,"If you feel so empty. So used up so let down. If you feel so angry. So ripped off so stepped on. You're not the only one. Refusing to back down. You're not the only one. So get up. Let's start a riot, a riot. Let's start a riot. Let's start a riot, a riot. Let's start a riot. If you feel so filthy. So dirty so fucked up. If you feel so walked on. So painful so pissed off. You're not the only one. Refusing to go down. You're not the only one. So get up. Let's start a riot, a riot. Let's start a riot. Let's start a riot, a riot. Let's start a riot. If you feel so empty. So used up, so let down. If you feel so angry. Just get up. Let's start a riot, a riot. Let's start a riot. Let's start a riot, a riot. Let's start a riot"
right left wrong,Sometimes I just wanna run away. Run away. Run away. I only wanna disappear. Far from here. Away from everyone. Before I come undone. The time has come. The time has come. So here I go. Left right left. Right left wrong. I don't know where I'm going. But I just keep moving on. Moving on. Moving on. I've been thinking about it. Too much doubt in. All of these feelings. Too many reasons to run. The time has come. The time has come. So here I go. Left right left. Right left wrong. I don't know where I'm going. But I just keep moving on. Left right left. Right left wrong. I don't know where I'm going. But I just keep moving on. I put my head down keep running away from it. Anywhere I'm going can't be worse than this. I need to get away before it pulls me here. And I'm never ever getting close to anyone again. I put my head down keep running away from it. Anywhere I'm going can't be worse than this. I need to get away before it pulls me here. I'm never ever getting close to anyone again. And I don't even know where I'm going to. But I don't want any motherfuckin' part of you. I've been waiting for this moment for way too long. I don't know where I'm going but I just keep moving on. Left right left. Right left wrong. I don't know where I'm going. But I just keep moving on. Left right left. Right left wrong. I don't know where I'm going. But I just keep moving on
fallen angel,"Late at night I could hear the crying. I hear it all, trying to fall asleep. When all the loved around you is dying. How do you stay so strong?. How did you hide it all for so long?. How can I take the pain away?. How can I save. A fallen angel, in the dark. Never thought you'd fall so far. Fallen angel, close your eyes. I won't let you fall tonight. Fallen angel. You do it all for my own protection. You make me feel like I'll be okay. Still I have so many questions. How do you stay so strong?. How did you hide it all for so long?. How can I take the pain away?. How can I save. A fallen angel, in the dark. Never thought you'd fall so far. Fallen angel, close your eyes. I won't let you fall tonight. Fallen angel, just let go. You don't have to be alone. Fallen angel, close your eyes. I won't let you fall tonight. I was right beside you. When you went to hell and back again. I was right beside you. When you went to hell and back again. And I, I can save, a fallen angel. A fallen angel, in the dark. Never thought you'd fall so far. Fallen angel, close your eyes. I won't let you fall tonight. Fallen angel, just let go. You don't have to be alone. Fallen angel, close your eyes. I won't let you fall tonight. Fallen angel"
last to know,She just walked away. Why didn't she tell me. And where do I go tonight. This isn't happening to me. This can't be happening to me. She didn't say a word. Just walked away. You were the first to say. That we were not okay. You were the first to lie. When we were not alright. This was my first love. She was the first to go. And when she left me for you. I was the last to know. Why didn't she tell me. Where to go tonight. She didn't say a word. She just walked away. You were the first to say. That we were not okay. You were the first to lie. When we were not alright. This was my first love. She was the first to go. And when she left me for you. I was the last to know. I'll be the first to say. That now I'm okay. And for the first time. I've opened up my eyes. This was my worst love. You'll be the first to go. And when she leaves you for dead. You'll be the last to know
time of dying,"On the ground I lay. Motionless in pain. I can see my life flashing before my eyes. Dead I fall asleep. Is this all a dream. Wake me up, I'm living a nightmare. I will not die (I will not die). I will survive. I will not die, I'll wait here for you. I feel alive, when you're beside me. I will not die, I'll wait here for you. In my time of dying. On this bed I lay. Losing everything. I can see my life passing me by. Was it all too much. Or just not enough. Wake me up, I'm living a nightmare. I will not die (I will not die). I will survive. I will not die, I'll wait here for you. I feel alive, when you're beside me. I will not die, I'll wait here for you. In my time of dying. I will not die, I'll wait here for you. I feel alive, when you're beside me. I will not die, I'll wait here for you. In my time of dying. I will not die, I'll wait here for you. I will not die, when you're beside me. I will not die, I'll wait here for you. In my time of dying"
