tobymac,"Hush little baby baby don't you cry. Daddy's gonna sing you a lullaby. Everything's gonna be alright. The Lord's gonna answer your prayer tonight. Hush little baby don't you cry. Daddy's gonna sing you a lullaby. Everything's gonna be alright. The Lord's gonna answer your prayer. Last night I had a dream you was the homecoming queen. Today you're 18, happy birthday Irene. Quit school you had to drop out to raise your little child. Doesn't seem to be anyone around. You got to reach up to touch rock bottom. The powers that be keep you downtrodden. Daughter of Zion, I heard your prayer. Just cast your cares and please beware of snakes. They come in all shapes and sizes. Tempt you, put scales on your eyelids. Don't waste your sorrows. They'll give you strength ... tomorrow. Your Calvary's about to come so. Keep your head up, don't you ever let up. This storm will pass you be ready for the next one. Hey little girl with the pressures of the world on your shoulders. Don't say that it's over. I heard your prayers, just cast your cares. And I'll be there so don't you fear. [Chorus]. Irene I carried you when you was too weak to walk. I took to you when you gave your heart to God. Faithful and true, that's what I'll always be to you. Believe in you, believe in Me and these mountains have to move. You have dreams and aspirations. I knew you before creation. Your foundation's solid. I will give you a palace, restore your soul. You'll be up for any challenge. Many storms are on the way better sharpen your faith. Count the cost, take up your cross. And wear it every day. Rest in Me and I will give you strength. Blessed is she, Irene who seeks my face. [Chorus]. Father I'm stronger than when I first believed"
everything,"I'm captivated, I'll say it. I'm on a whole new intrigue. My space invaded, upgraded. I hear You talking to me. It's in the boom of the thunder, it's in the cool of the rain. And I'll say I don't ever want to get away. Tonight is beautiful. It's got my mind on You. And everywhere I turn is a reminder. I see You in everything, all day. And every beat of my heart keeps reminding me. I see You in every little thing, all day. No matter where I go I know Your love is finding me. I see You in everything. You're all up in everything. My soul's awaken. I'm taken by all the beauty You bring. You got it blarin', I'm starin'. Love watching You do Your thing. There's no mistaken Your style. No mistaken Your touch. I see the grand, I see the subtle of Your love. Lord, I see You in everything, all day. And every beat of my heart keeps reminding me. I see You in every little thing, all day. No matter where I go I know Your love is finding me. It's finding me in everything, all day. And every beat of my heart keeps reminding me. I see You in every little thing, all day. No matter where I go I know Your love is finding me. Tonight is beautiful. It's got my mind on You. And everywhere I turn is a reminder. From the sparkle in her eyes to the starlit open skies. You bring my heart to life, fill me with wonder. Oh, I can see Your love, Your love in everything. And that's why You'll always be my everything. Yeah, I can see Your love, Your love in everything. And that's why You'll always be my everything"
feel it (feat. mr. talkbox),"When I sit back and imagine. Life without you, I can't fathom. How I ever thought I'd make it on my own. And there's at least a million reasons. I'm still standing here believin'. You're my comfort, you're my healin'. This I know (this I know). Well, you can't see the wind. But it moves the leaves. From the bottom to the top. Of the tallest trees. You are everything I will ever need. And they can't take that from me. Oh, I feel it in my heart. I feel it in my soul. That's how I know. You take our brokenness. And make us beautiful. Yeah, that's how I know. Everybody talkin' like they need some proof. But what more do I need than to feel you. When I sit back and imagine. Life without you, I can't fathom. How I ever thought I'd make it on my own. And there's at least a million reasons. I'm still standing here believin'. You're my comfort, you're my healin'. This I know (this I know). Well, you can't see the wind. But it moves the leaves. From the bottom to the top. Of the tallest trees. You are everything I will ever need. And they can't take that from me. Oh, I feel it in my heart. I feel it in my soul. That's how I know. You take our brokenness. And make us beautiful. Yeah, that's how I know. (can't take that from me). Love came crashin' in. Never gonna be the same again. Yeah, you came crashing in. You wrecked me, you wrecked me. Love came crashin' in. Never gonna be the same again. Yeah, you came crashing in. You wrecked me. That's how I know. Oh, I feel it in my heart. I feel it in my soul. That's how I know. You take our brokenness. And make us beautiful. Yeah, that's how I know. Oh, I feel it in my heart. I feel it in my soul. That's how I know. You take our brokenness. And make us beautiful. Yeah, that's how I know. That's how I know. Everybody talkin' like they need some proof. But what more do I need than to feel you. Everybody talkin' like they need some proof. But what more do I need than to feel you"
lights shine bright,"Lights shine bright, everywhere we go. Music for the people, making music for the people. Lights shine bright, everywhere we go. Lights shine bright, everywhere we go. Everywhere we go, music for the people. Making music for the people. I wanna magnify your light. I wanna reflect the son. Cut like precious diamonds. With colors by the million. This is the only world we know. And for now this rental's our home. If we gon' be a reflection. Gotta make this stand rock glow. Just so you know. Light shine bright, everywhere we go. Music for the people to illuminate the soul. Lights shine bright, everywhere we go. Music for the people, making music for the people. Light shine bright, everywhere we go. Music for the people to illuminate the soul. Lights shine bright, everywhere we go. Music for the people, Jesus music for the people. Everywhere go. Light shine bright, light shine bright. Everywhere we go. Light shine bright, light shine bright. Lights in the city might be more than pretty, pretty. That freaky shine might be more than meets the eye. Anytime you see that sparkle in the dark you might look deeper, deeper. It might be more than simply theatre. Yo, that smile might be joy that's connected to the spirit. The spirit might be contagious if you dare, you dare come near it. I remember, can't forget, peace that you can't second guess. Sparkle as the light reflects we writin' pay it forward checks. The lights in the city shine bright. The lights in the city shine bright. So let your heart light shine tonight"
i just need u,"Last night put the heavy on me. Woke up, and I'm feeling lonely. This world gotta a way of showin' me. Some days it'll lift you up. Some days it'll call your bluff. Man, most of my days I ain't got enough. And all I know is you're my only hope. When I'm up, when I'm down. When the wolves come around. When my feet hit the ground. I just need, I just need U. On my darkest days. When I'm losing faith. No, it ain't gonna change. I just need, I just need U. Lord, I need U. Yeah, I just need U. Yea, though I walk through the valley of the shadow of death. I will fear no evil for thou art with me. Thy rod and thy staff. They comfort me when I'm beat down broken. Hold my heart when it's split wide-open. Turn these eyes to my sole protector. And break the will of this born defector. When you pull me closer I come to life. Ain't no way this thing gon' change, it's U. I need on my darkest days. When I'm losing faith. I need U every single day, every breath I take. I need U"
ignition,"Start it up. Turn it on. We can ride this storm. A grip of hope in our hands. For the coming dawn. Up to our necks in complexities. Causing us to pause. As we collect our thoughts. So don’t blink if you wanna come cross the border. Take a look a around or come test the water. We won’t stop till we see the morning. So welcome to the quiet before the storm hits. Turn on, turn on the ignition. Everybody. Come on, come on and turn on the ignition. Comatose. Half hearted. Room temperatures fine. Sleep walkin' no dream is even fillin’ our minds. Earth shakin’. We be quakin’ like a wake up bomb. This ain’t no trouble overseas. No Vietnam. Sleep walkin’. I’m sleep walkin’. Sleep walkin’. I’m still talkin’. Come spark the parts in me that all but died. Jump start my heart and wake the sleeper inside. Hold up the flag ‘cause its ride or die. Hold up the flag ‘cause its ride or die"
get back up,"You turned away when I looked you in the eye. And hesitated when I asked if you were alright. Seems like you’re fightin’ for your life. But why, oh, why. Wide awake in the middle of your nightmare. You saw it comin’ but it hit you out of nowhere. And there’s always scars when you fall that far. We lose our way, we get back up again. It’s never too late to get back up again. And one day you gonna’ shine again. You may be knocked down, but not out forever. We lose our way, we get back up again. So get up, get up, you gonna’ shine again. It’s never too late to get back up again. You may be knocked down, but not out forever. You roll out of the dawning of the day. Heart racin’ as you made your little get away. It feels like you been runnin’ all your life. But why, oh, why. So you pull away from the love that would’ve been there. And start believin’ that your situation’s unfair. But there’s always scars when you fall that far. This is love callin,’ love callin,’. Out to the broken this is love callin’. This is love callin,’ love callin,’. I am so broken. This is love callin,’ love callin’"
speak life,"Speak Life. Some days life feels perfect, other days it just ain't workin'. The good, the bad, the right, the wrong, and everything in between. It's crazy, amazing, we can't turn a heart through the words we say. Mountains crumble with every syllable, hope can live or die. So speak life. To deadest darkest night. Speak life, speak life. When the sun won't shine and you don't know why. Look into the eyes of the broken hearted. Watch them come alive as soon as you speak hope you speak love. Speak life, speak life. Some days the tongue gets twisted, other days my thoughts just fall apart. I do, I don't, I will, I won't. It's like I'm drownin' in the deep. Well it's crazy to imagine words from our lips as the arms of compassion. Mountains crumble with every syllable, hope can live or die. Lift your head a little higher. Spread the love like fire. Hope will fall like rain when you speak life with the words you say. Raise your thoughts a little higher. Use your words to inspire. Joy will fall like rain when you speak life with the things you say. Lift your head a little higher. Spread the love like fire. Hope will fall like rain when you speak life with the words you say"
backseat driver,"Silly me, silly me, aye. Revertin' back to my old ways. Them got to be in control days. Jump before I pray. Yo, I'm headed out the doorway. But I want Your way, Yahweh. From dirt roads to highways. You're showin' me a beautiful view from this backseat. But there's lots of room and I never would have seen it if I wasn't rolling with you. I don't wanna be no backseat, (don't wanna be) no backseat driver. I don't wanna navigate, (don't wanna, uh) , won't You take it over (take it over). I don't wanna ever doubt You, I'm lost without You Lord. I don't wanna be no backseat, (don't wanna be) no backseat driver. You got the wheel, take me where You wanna go. My heart is Your's, no matter where we roll. Been backseat my whole life. Now I turned 16 so it's time to drive. Buckle up, TRU behind the wheel. Got my iPhone bumping like (dom da dom). GPS locked and the map was set. Thought I had it all right till the road went left. Spinning outta control in this Coupe de Ville. Now I'm sittin' shotgun, Jesus take the wheel. I don't wanna be no backseat, (don't wanna be) no backseat driver. I don't wanna navigate, (don't wanna, uh) , won't You take it over (take it over). I don't wanna ever doubt You, I'm lost without You Lord. I don't wanna be no backseat, (don't wanna be) no backseat driver. I'm putting my trust in You, putting my trust in You. It's a little bit overdue, but I'm putting my trust in You. I'm putting my trust in You, putting my trust in You. It's a little bit overdue, but I'm putting my trust in You. I'm putting my trust in You, putting my trust in You. It's a little bit overdue, but I'm putting my trust in You. It's a whole new journey, a brand new path. And Imma fix my eyes so I won't look back. Tame this beating heart in my chest. 'Cause everything in my wants to jump ahead. So light it up, up. Don't let it fade. Light it up, up. Show me the way. Light it up Lord, just like You do. No second guessin', Imma move with You. I don't wanna be no backseat, (don't wanna be) no backseat driver. I don't wanna navigate, (don't wanna, uh) , won't You take it over (take it over). I don't wanna ever doubt You, I'm lost without You Lord. I don't wanna be no backseat, (don't wanna be) no backseat driver. I don't wanna be no backseat, (don't wanna be) no backseat driver. I don't wanna navigate, (don't wanna, uh) , won't You take it over (take it over). I don't wanna ever doubt You, I'm lost without You Lord. I don't wanna be no backseat, (don't wanna be) no backseat driver"
all in (letting go) / mr. talkbox interlude,I'am letting go. I'am letting go. I'am letting go. Why's it always circumstantial?. Never any real potential. Obvious and so sequential. It always ends the same. Holding out with all that's in me. Is it worth all this pretending?. A story with an ugly ending it's never worth the pain. So right here and now I am all in. [Chorus]. Cause I'm letting go of everything I am. And I'm holding on to everything You are. I'm letting go of everything I once was. I'm all in. I'm fallin' into Your arms again. I'am letting go. I'am letting go. Can we just wait out the weather?. I could stay right here forever. Got to get myself together. Real life is on the way. Call it my foregone conclusion. I'll always welcome Your intrusion. You're the master of my choosing. I'm all Yours. [Chorus]. Cause I'm letting go of everything I am. And I'm holding on to everything You are. I'm letting go of everything I once was. I'm all in. I'm all in. I'm fallin' into Your arms again. This time I'm so for real. It's time I sealed the deal. Shut down my lame appeals. I'm letting go. I'm letting go. I'll throw caution to the sky. Kiss all my fears goodbye. This time its do or die. I'm letting go. I'm letting go. Cause I'm letting go of everything I am. And I'm holding on to everything You are. I'm letting go of everything I once was. I'm all in. I'm all in. Cause I'm letting go of everything I am. And I'm holding on to everything You are. I'm letting go of everything I once was. I'm all in. I'm fallin' into Your arms again. I'am letting go. I'am letting go. I'am letting go
