humpty dumpty,"Humpty Dumpty sat on the wall. Humpty dumpty had a great big fall. All the kings horses. And all the kings men. Couldn't put Humpty together again. Humpty Dumpty and Betty Louise. Stole a Sony and some Camembert cheese. She said ""Humpty baby, take me. Oooh, yeah, take me to the river. 'Cause I like the way it runs, yeah,. Take me to the river. You know I like the way it runs, yeah"". He said. ""Everything's going my way"". He said. ""Maybe it's my lucky day"". And he said. ""Anything you want. I can give"". She said, ""I wanna take your picture. Just for me"". He said, ""Anything"". She said, ""Up there, baby. Get on the wall babe"". Humpty Dumpty sat on the wall. And looked at her as he was falling. And all the kings horses. And all the kings men. Couldn't put Humpty together again. Hey, Betty Louise. Hey, Betty Louise. She said, ""I like. Custard in the summer, honey. Oh yeah, what it takes to be queen. Hey, what it takes to be queen. What it takes to be...oh"""
smells like teen spirit,"Load up on guns and bring your friends. it's fun to lose and to pretend. She's overbored and self assured. oh, no, I know a dirty word. (chorus). hello, hello,hello,how low. hello,hello, hello,how low. hello,hello,hello,how low. hello,hello,hello...... with the lights out its less dangerous. here, we are now, entertain us. I feel stupid, and contagious. here, we are now entertain us. A mulatto, An albino, A mosquito. My libido. Yeh!. Yay......Yay!. I'm worse at what I do best. And for this gift I feel blessed. Our little group has always been. And always will until the end. (chorus). And I forget just why I taste. Oh yeah, I guess it makes me smile. I found it hard it's hard to find. Oh well, whatever, nevermind. (chorus). hello, hello,hello,how low?. hello,hello, hello,how low?. hello,hello,hello,how low?. hello,hello,hello...... with the lights out it's less dangerous. here, we are now, entertain us. I feel stupid and, and contagious. here, we are now entertain us. A mulatto, An albino, A mosquito. My libido. A denial (9x)"
iieee,With your E's. And your ease. And I do one more. Need a lip gloss boost. In your america. Is it God's. Is it your's. Sweet saliva. With your E's. And your ease. And I do one more. I know we're dying. And there's no sign of a parachute. We scream in cathedrals. Why can't it be beautiful. Why does there gotta be a sacrifice. Gotta be a sacrifice. Just say yes. You little arsonist. You're so sure you can save. Every hair on my chest. Just say yes. You little arsonist. With your. With your E's. And your ease. And I do one more. With your E's. And your ease. And I do one more. Well I know we're dying. And there's no sign of a parachute. In this chapel. Little chapel of love. Can't we get a little grace. And some elegance. No we scream in cathedrals. Why can't it be beautiful. Why does there gotta be a sacrifice. Gotta be a sacrifice. Gotta be a sacrifice
me and a gun,"5am friday morning, thursday night, far from sleep. I'm still up and driving, can't go home obviously. So I'll just change direcition cause they'll soon know where I live. And I wanna live. Got a full tank and some chips. It was me and a gun and a man on my back. And I sang ""holy holy"" as he buttoned down his pants. You can laugh, It's kind of funny the things you think times like these. like I haven't seen Barbados so I must get out of this. Yes I wore a slinky red thing, does that mean I should spred. for you, your friends, your father, Mr. Ed. It was me and a gun and a man on my back. but I haven't seen Barbados so I must get out of this. And I know what this means, me and Jesus a few years back. Used to hang and he said ""It's your choice babe, just remember. I don't think that you'll be back in 3 days time so you choose well"". Tell me what's right, Is it my right to be on my stomach of Fred's Seville. It was me and a gun and a man on my back. But I haven't seen Barbados so I must get out of this. And do you know Carolina where the biscuits are soft and sweet. These things go through you head when there's a man on your back. and you're pushed flat on your stomach, it's not a classic cadillac. Me and a gun and a man on my back. But I haven't seen Barbados so I must get out of this. I haven't seen Barbados so I must get out of this."
another girl's paradise,"you caught me lingering. in another girl's. paradise. the way she paints. the world --. I want that in my. life. Emeralds, you should know,. are renting in her meadow. with a stroke. beauty lives. how could I resist. you are Desire. when it all is said. said and done. who can Love you. and still be standing. there's Mary calling. up a storm. can I take from you. and not keep taking. naked as day. Gemma follows him. Does it all come down to. the thing one girl fears. in the night. is another girl's paradise. through twists and turns. Jasmine foxed me. in her grove. arms filled with. Honeybells, St. Michaels. Sanford Bloods. ""you have come to discover. what you want"". what i want is not to. want what isn't mine. ""But I am Desire"". when it all is said. said and done. who can Love you and. still be standing. there's Mary calling. up a storm. can I take from you. and not keep taking. naked as day. Gemma follows him. Does it all come down to. the thing one girl fears. in the night. is another. girl's. paradise. Does it all. come down to. the thing one. girl fears. in the night. is another girl. is another girl. is another girl's paradise"
drive all night,"I got a spandex dress. and it managed to fit. hey now come an wreck it man. I got a kid that calls the cops. before the party's started. that generation needs a lesson in sin. now you're in my door. you say you're runnin' on empty. girl i sure could use a friend. But it's a long road that goes on and on. and it drives and divides my flesh from your thorn. and it's clear dear man. I'm not sleeping anymore. Congratulations as you lose control. and do you still need a sign to let me drive. 'Cause I can drive all night. said I can drive all night. you say you got a vampire in your head. Love, you got one in your kitchen. she's been stringing you out since we were kids. a black hole that could swallow Jesus. and if you want the girl in the blue velvet band. she'll charm you into oblivion. 'Cause it's a long road that goes on and on. and then drives and divides my flesh from your thorn. and it's clear dear man. I'm not sleeping anymore. Congratulations as you lose control. Do you still need a sign to let me drive. 'Cause I can drive all night. said I can drive all night. He said ""Girl, maybe I can't play your hero. in your last picture show... "". But I can drive up all night. said I can drive all night. said I can drive all night. all night. all night"
father lucifer,Father Lucifer. you never looked so sane. you always did prefer the drizzle to the rain. tell me that you're still in love with that Milkmaid. how's the Lizzies. how's your Jesus Christ been hanging. nothings gonna stop me from floating. nothings gonna stop me from floating. he says he reckons I'm a watercolour stain. he says I run and then I run from him. and then I run. he didn't see me watching. from the aeroplane. he wiped a tear. and then he threw away our appleseed. nothings gonna stop me from floating. nothings gonna stop me from floating. everyday's my wedding day. though bay's still in hs comatose state. I'll die my own Easter eggs. don't go yet. and Beenie lost the sunset but that's OK. does Joe bring flowers to Marilyn's grave. and girls that eat pizza and never gain weight. Father Lucifer you n ever looked so sane. you always did prefer the drizzle to the rain. tell me you're still in love with that Milkmaid. how's the Lizzies. how's your Jesus Christ been hanging.
blood roses,Blood Roses. Blood Roses. Back on the street now. can't forget the things you never said. on days like these gets me thinking. when chickens get a taste of your meat. chickens get a taste of your meat. you gave him your blood. and your warm little diamond. he likes killing you after you dead. you think I'm a queer. I think you're a queer. I think you're a queer. Said I think you're a queer. and I shaved every place where you been. I shaved every place where you been. God knows I know I've thrown away those graces. the Belle of New Orleans tried to show me. once how to tango. wrapped around your feet. wrapped around like good little roses. Blood Roses. Blood Roses. back on the street now. now you've cut out the flute. from the throat of the loon. at least when you cry now. he can't even hear you. when chickens get a taste of your meat. when chickens sucks you deep. sometimes you're nothing but meat
carry,"Love, hold my hand. Help me see with the dawn. That those that have left. Are not gone. But they carry on. As stars looking down. As nature's sons. And daughters of the heavens. You will not ever be forgotten by me. In the procession of the mighty stars. Your name is sung and tattooed now on my heart. Here I will carry, carry, carry you. Forever. You have touched my life. So that now. Cathedrals of sound are singing, are singing. The waves have come to walk with you. To where you will live in the land of you,. Land of you. You will not ever be forgotten by me. In the procession of the mighty stars. Your name is sung and tattooed now on my heart. Here I will carry, carry, carry you. Here I will carry, carry, carry you. Forever."
girl,"From in the shadow she calls. and in the shadows she finds a way. and in the shadow she crawls. Clutching her faded photograph, my image under her thumb. Yes with a message for my heart. Yes with a message for my heart. She's been everybody else's girl, maybe one day she'll be her own. Everybody else's girl, maybe one day she'll be her own. And in the doorway they stay. and laugh as violins fill with water. Screams from the bluebells can't make them go away. Well I'm not seventeen but I've cuts on my knees. Falling down as the winter takes one more cherry tree. She's been everybody else's girl, maybe one day she'll be her own. Everybody else's girl, maybe one day she'll be her own. Everyone else's girl maybe one day she'll be her own. Rushin' rivers thread so thin limitation. Everyone else's girl maybe one day she'll be her own. Dreams with the flying pigs turbid blue and the drugstores too safe. in their coats and in their do's yeah. Everyone else's girl maybe one day. maybe one day one day she'll be her own. And in the mist there she rides. and castles are burning in my heart. and as I twist I hold tight. and I ride to work every morning wondering why. ""Sit in the chair and be good now"". and become all that they told you. The white coats enter her room. and I'm callin' my baby, callin' my baby, callin' my baby, callin'. Everybody else's girl, maybe one day she'll be her own."
