"hey, soul sister","Hey, hey, hey. Your lipstick stains. On the front lobe of. My left side brain. I knew I wouldn't forget you. And so I went and let you blow my mind. Your sweet moonbeam. The smell of you in every single dream I dream. I knew when we collided. You're the one I have decided. Who's one of my kind.. Hey, soul sister. Ain't that Mr. Mister. On the radio, stereo. The way you move. Ain't fair you know. Hey, soul sister. I don't wanna miss. A single thing you do. Tonight. Hey, hey, hey. Just in time. I'm so glad. You have a one track. Mind like me.. You gave my life direction. A game show love connection. We can't deny. I'm so obsessed. My heart is bound to beat. Right out my untrimmed chest. I believe in you.. Like a virgin. You're Madonna. And I'm always gonna wanna. Blow your mind. Hey, soul sister. Ain't that Mr. Mister. On the radio, stereo. The way you move. Ain't fair you know. Hey, soul sister. I don't wanna miss. A single thing you do. Tonight. The way you can cut a rug. Watching you is the only drug I need. You're so gangsta. I'm so thug. You're the only one. I'm dreaming of you see. I can be myself now finally. In fact there's nothing I can't be. I want the world to see you be. With me. Hey, soul sister. Ain't that Mr. Mister. On the radio, stereo. The way you move. Ain't fair you know. Hey, soul sister. I don't wanna miss. A single thing you do. Tonight. Hey, soul sister. I don't wanna miss. A single thing you do. Tonight. Hey, hey, hey. Tonight. Hey, hey, hey. Tonight"
drops of jupiter,"Now that she's back in the atmosphere. With drops of jupiter in her hair. She acts like summer and walks like rain. Reminds me that there's a time to change. Since the return of her stay on the moon. She listens like spring and she talks like June. But tell me did you sail across the sun. Did you make it to the milky way. To see the lights all faded. And that heaven is overrated. Tell me did you fall for a shooting star. One without a permanent scar. And did you miss me. While you were looking for yourself out there.. Now that she's back from that soul vacation. Tracing her way through the constellation. She checks out mozart while she does tae-bo. Reminds me that there's room to grow. Now that she's back in the atmosphere. I'm afraid that she might think of me as. Plain old jane told a story about a man. Who was too afraid to fly so he never did land. Tell me did the wind sweep you off your feet. Did you finally get the chance. to dance along the light of day. And head back to the milky way. And tell me did venus blow your mind. Was it everything you wanted to find. And did you miss me. While you were looking for yourself out there. Can you imagine, no love, pride, deep fried chicken. Your best friend always stickin up for you. (even when I know you're wrong)?. Can you imagine no first dance. Freeze dried romance. 5 hour phone conversation. The best soy latte' that you ever had and...Me?. But tell me did the wind sweep you off your feet?. Did you finally get the chance. to dance along the light of day. And head back toward the milky way?. Tell me did you sail across the sun?. Did you make it to the milky way to see the lights all faded. And that heaven is overrated?. Tell me did you fall for a shooting star,. One without a permanent scar?. And did you miss me while you were looking for yourself?. Nanananananananananananana. And did you finally get the chance. to dance along the light of day?. And did you fall for a shooting star?. Fall for a shooting star?. And are you lonely looking for yourself out there?"
marry me,Forever can never be long enough for me. Feel like I've had long enough with you. Forget the world now we won't let them see. But there's one thing left to do. Now that the weight has lifted. Love has surely shifted my way. Marry Me. Today and every day. Marry Me. If I ever get the nerve to say. Hello in this cafe. Say you will. Mm-hmm. Say you will. Mm-hmm. Together can never be close enough for me. Feel like I am close enough to you. You wear white and I'll wear out the words I love you. And you're beautiful. Now that the wait is over. And love has finally shown her my way. Marry me. Today and every day. Marry me. If I ever get the nerve to say hello in this cafe. Say you will. Mm-hmm. Say you will. Mm-hmm. Promise me. You'll always be. Happy by my side. I promise to. Sing to you. When all the music dies. And marry me. Today and everyday. Marry me. If I ever get the nerve to say hello in this cafe. Say you will. Mm-hmm. Say you will. Marry me. Mm-hmm
50 ways to say goodbye,"My heart is paralyzed. My head was oversized. I'll take the high road like I should. You said it's meant to be. That it's not you, it's me. You're leaving now for my own good. That's cool, but if my friends ask. Where you are I'm gonna say. She went down in an airplane. Fried getting sun-tanned. Fell in a cement mixer full of quicksand. Help me, help me, I'm no good at goodbyes!. She met a shark under water. Fell and no one caught her. I returned everything I ever bought her. Help me, help me, I'm all out of lies. And ways to say you died. My pride still feels the sting. You were my everything. Some day I'll find a love like yours. (A love like yours). She'll think I'm Superman. Not super minivan. How could you leave on Yom Kippur?. That's cool, but if my friends ask. Where you are I'm gonna say. She was caught in a mudslide. Eaten by a lion. Got run over by a crappy purple Scion. Help me, help me, I'm no good at goodbyes!. She dried up in the desert. Drowned in a hot tub. Danced to death at an east side night club. Help me, help me, I'm all out of lies. And ways to say you died. I wanna live a thousand lives with you. I wanna be the one you're dying to. Love...but you don't want to. That's cool, but if my friends ask. Where you are I'm gonna say. That's cool, but if my friends ask. Where you are I'm gonna say. She went down in an airplane. Fried getting sun-tanned. Fell in a cement mixer full of quicksand. Help me, help me, I'm no good at goodbyes!. She met a shark under water. Fell and no one caught her. I returned everything I ever bought her. Help me, help me, I'm all out of lies. She was caught in a mudslide. Eaten by a lion. Got run over by a crappy purple Scion. Help me, help me, I'm no good at goodbyes!. She dried up in the desert. Drowned in a hot tub. Danced to death at an east side night club. Help me, help me, I'm all out of lies. And ways to say you died"
if it's love,"While everybody else is getting out of bed. I'm usually getting in it. I'm not in it to win it. And there's a thousand ways you can skin it. My feet have been on the floor. Flat like an idle singer. Remember winger. I digress. I confess you are the best thing in my life. But I'm afraid when I hear stories. About a husband and wife. There's no happy endings. No Henry Lee. But you are the greatest thing about me. [Chorus]. If it's love. And we decide that it's forever. No one else could do it better. If it's love. And we're two birds of a feather. Then the rest is just whenever. And if I'm addicted to loving you. And you're addicted to my love, too. We can be them two birds of a feather. That flock together. Love, love. Got to have something to keep us together. Love, love. That's enough for me. Took a loan on a house I own. Can't be a queen bee without a bee throne. I wanna buy ya everything. Except cologne 'cause it's poison. We can travel to Spain where the rain falls. Mainly on the plain side and sing. 'cause it is we can laugh we can sing. Have ten kids and give them everything. Hold our cell phones up in the air. And just be glad we made it here alive. On a spinning ball in the middle of space. I love you from your toes to your face. [Chorus]. Love, love. Got to have something to keep us together. Love, love. That's enough for me. You can move in. I won't ask where you've been. 'Cause everybody has a past. When we're older. We'll do it all over again. When everybody else is getting out of bed. I'm usually getting in it. I'm not in it to win it. I'm in it for you. If it's love. And we're two birds of a feather. Then the rest is just whenever. Then the rest is just whenever. If it's love. And we decide that it's forever. No one else could do it better. And if I'm addicted to loving you. And you're addicted to my love, too. We can be them two birds of a feather. That flock together. Love, love. Got to have something to keep us together. Love, love. Got to have something to keep us together. Love, love. That's enough for me"
drive by,"On the other side of a street I knew. Stood a girl that looked like you. I guess that's déjà vu. But I thought this can't be true, cause. You moved to West L.A or. New York or Santa Fe or. Wherever to get away from me. Oh, but that one night. Was more than just right. I didn't leave you. 'Cause I was all through. Oh I was overwhelmed. And frankly scared as hell. Because I really fell for you. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y. Just a shy guy,. Looking for. A 2-ply hefty bag to hold my love. When you move me. Everything is groovy. They don't like it sue me. Mmm the way you do me. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y. On the other side to a downward spiral. My love for you went viral. And I loved you every mile you drove away. But now here you are again so. Let's skip the ""how you've been"" and. Get down to the ""more than friends"" at last. Oh but that one night. Was still the highlight. I didn't need you until I came to. And I was overwhelmed. And frankly scared as hell. Because I really fell for you. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y. Just a shy guy,. Looking for. A 2-ply hefty bag to hold my love. When you move me. Everything is groovy. They don't like it sue me. Mmm the way you do me. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y. Please believe that when I leave. There's nothing up my sleeve but love for you. And a little time to get my head together too. On the other side of a street I knew. Stood a girl that looked like you. I guess that's déjà vu. But I thought this can't be true, cause. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y. Just a shy guy,. Looking for. A 2-ply hefty bag to hold my love. When you move me. Everything is groovy. They don't like it sue me. Mmm the way you do me. Oh I swear to ya. I'll be there for ya. This is not a drive by-y-y-y"
play that song,"(play that song). The one that makes me go all night long. The one that makes me think of you. That's all you gotta do. Hey mister dj when you gonna spin it. My baby's favorite record. She been waiting for a minute. She invited all her friends. And I'm buying all the rounds. And they're all dolled up. Dj please don't let me down. When you gonna play that song, now. When you gonna earn that pay. When you gonna play that song. And make my day. She said. Play that song. The one that makes me go all night long. The one that makes me think of you. That's all you gotta do. Hey. Play that song. The one the makes me stay out till dawn. The one that makes me go oo. That's all you gotta do. Hey mr. guitar. When you gonna strum it. My girl just heard this song. And you should play it cause she loves it. Can you get me off the hook. Get them fingers picking now. I'll throw some money in your cup. Mister please don't let me down. When you gonna play that song, now. Why you gotta hesitate. When you gonna play that song. And make my day. She said. Play that song. The one that makes me go all night long. The one that makes me think of you. That's all you gotta do. Hey. Play that song. The one the makes me stay out till dawn. The one that makes me go oo. That's all you gotta do. Oh. Wait till you see my baby moo-oo-oove. Moo-oo-oove moo-oo-oove. Wait till you See my baby moo-oo-oove. Moo-oo-oove moo-oo-oove. Oh, come on now. Play that song. The one that makes me go all night long. The one that makes me think of me. That's all you gotta do. Hey. Play that song. The one the makes her stay out till dawn. The one that makes her go oo. That's all you gotta do. That's all you gotta do. Oo, oo, oo, oo. Oo, oo, oo, oo. Oo, oo, oo, oo. That's all you gotta do. Oo, oo, oo, oo. Oo, oo, oo, oo. Oo, oo, oo, oo. That's all you gotta do"
shake up christmas,"Ho ho ho. Shake up the happiness. Wake up the happiness. Shake up the happiness. It's christmas time. There's a story that I was told. And I wanna tell the world. Before I get too old. And don't remember it. So let's december it. And reassemble it (oh yeah). Once upon a time in a town like this. A little girl made a great big wish. To feel the world full of happiness. And be on Santa's magic list. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Ho, Ho, Ho. Ho, Ho, Ho. It's Christmas time. At the same time miles away. A little boy made a wish that day. That the world would be okay. And Santa Claus would hear him say. I got dreams and I got love. I got my feet on the ground. And family above. Can you send some happiness?. With my best to the rest. Of the people of the East and the West and. Maybe every once in a while you. Get my grandma a reason to smile. Tis the season of smile. It's cold but we'll be freezing in style. Let me meet a girl one day that. Wants to spread some love this way. We can let our souls run free and. She can know some happiness with me. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. I know you're out there. I hear your reindeer. I see the snowing. Your boots have been. I'm gonna show them. So they will know then. This love will grow in. Than to live again. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Ho, ho, ho. Ho, ho, ho. It's Christmas time. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Shake it up. Shake up the happiness. Wake it up. Wake up the happiness. Come on you all. It's Christmas time. Ho, ho, ho. Ho, ho, ho. Ho, ho, ho. It's Christmas time"
"call me sir (ft. cam, travie mccoy)","When I ride by myself. I don't ever get no help. But when I roll up with her. Everybody calls me sir. No matter how long I stay. They never ever know my name. But when I walk in with her. Everybody calls me sir. Normal California. Same old Friday night. Pretend to be invisible. Underneath these city lights. Then I met my baby. Felt like I struck gold. Now they treat me like royalty everywhere I go. When I ride by myself. I don't ever get no help. But when I roll up with her. Everybody calls me sir. No matter how long I stay. They never ever know my name. But when I walk in with her. Everybody calls me sir. Oh oho oh ohoh oh oh. Call me sir. Oh oho oh ohoh oh oh. Ohoh oh oh oh. I ain't goin nowhere. Unless he's there with me. Cause I don't stand in line no more. Admissions always free. He could break the law he could break your heart in two. But I promise that you won't care. when he smiles at you. Ohoh oh oh oho. When I ride by myself. I don't ever get no help. But when I roll up with her. Everybody calls me sir. No matter how long I stay. They never ever know my name. But when I walk in with her. Everybody calls me sir. Oh oho oh ohoh oh oh. Call me sir. Oh oho oh ohoh oh oh. Call me sir. Oh oho oh ohoh oh oh. Call me sir. Oh oho oh ohoh oh oh. Ohoh oh oh oh. Every time we hit the streets it's like a world premier. She makes me feel like Sia swinging from that chandelier. Went from marginally famous to the top of the A list. And just for future reference here's a tip Mr. Belvedere. Never judge a book by it's cover. And never judge an ugly duckling by his mother. The frog prince got kissed. Her lips granted his wish. It's a sad world when your net worth determines your lover. But, what would I ever do without you. Prolly wouldn't have a clue without you. But one things for sure when I pull up with her. Don't refer to me as Travie. You can call me sir. What would ever do without you. What would ever do without you. What would ever do without you. What would ever do without you. Call me sir"
mermaid,Whoaaaah. Whoah. Can't swim so I took a boat. To an island so remote. Only Johnny Depp has ever been to it before. I stayed there 'til the air was clear. I was bored and out of tears. Then I saw you washed up on the shore. I offered you my coat. Thank Goddess love can float. Crazy how that shipwreck. Meant my ship was coming in. We talked 'til the sun went down. Love on the Puget Sound. My treasure map was on your skin. Beauty in the water. Angel on the beach. Ocean's daughter. I thought love was out of reach. 'Til I got her. Had I known it could come true. I would have wished in '92. For a mermaid just like you. Whoaaah. Just like you. Whoaaah. Sharks green with envy. They wondered what you see in me. Funny but sometimes can't help. But wonder that as well. Now life is a holiday. Making up for the years I paid. The way to this heavenly bay. It went through hell. Beauty in the water. Angel on the beach. Ocean's daughter. I thought love was out of reach. 'Til I got her. Had I known it could come true. I would have wished in '92. For a mermaid just like you. Whoaaah. Just like you. Whoah. I rescued you by the banyan tree. All the girl fish in the sea. Couldn't hold a candle to 'ya. They don't have a handle on 'ya. They don't have a scandal on ya. I love Ecco sandals on 'ya. Saving me was B-I-G. All the boy fish in the sea. They all wish that they could be me. Can't swim so I took a boat. To an island so remote. Only Johnny Depp has ever been to it before. Beauty in the water. Angel on the beach. Ocean's daughter. I thought love was out of reach. 'Til I got her. Had I known it could come true. I would have wished in '92. For a mermaid just like you. Whoaaah. Just like you. Whoah. Just like you. Whoaaah. Just like you. Whoah
