with or without you,"See the stone set in your eyes. See the thorn twist in your side. I wait for you. Sleight of hand and twist of fate. On a bed of nails she makes me wait. And I wait... without you. With or without you. With or without you. Through the storm we reach the shore. You give it all but I want more. And I'm waiting for you. With or without you. With or without you ohoo. I can't live. With or without you. And you give yourself away. And you give yourself away. And you give. and you give. And you give yourself away. My hands are tied. My body bruised, she's got me with. Nothing to win. and nothing left to lose. And you give yourself away. And you give yourself away. And you give. and you give. And you give yourself away. With or without you. With or without you. I can't live. With or without you"
one,"Is it getting better?. Or do you feel the same?. Will it make it easier on you now. You got someone to blame?. You say. One love, one life. When it's one need. In the night. One love. We get to share. It leaves you, darling. If you don't care for it. Did I disappoint you?. Or leave a bad taste in your mouth?. You act like you never had love. And you want me to go without. Well, it's too late. Tonight. To drag your past out. Into the light. We're one. But we're not the same. We get to carry each other. Carry each other. One. Have you come here for forgiveness?. Have you come to raise the dead?. Have you come here to play Jesus. To the lepers in your head?. Did I ask too much?. More than a lot?. You gave me nothing now. It's all I got. We're one. But we're not the same. Well. We hurt each other. Then we do it again. You say. Love is a temple. Love is a higher law. Love is a temple. Love is a higher law. You ask me to enter. But then you make me crawl. And I can't be holding on. To what you got. When all you got is hurt. One love. One blood. One life you got. To do what you should. One life. With each other. Sisters, brothers. One life. But we're not the same. We get to carry each other. Carry each other. One... one. Uh, uh, uh, oh. Make, make it, make it. Ahh, ahh, oh. Ahh, ahh. And one. Ahh, ahh... oh"
i still haven't found what i'm looking for,"I have climbed the highest mountains. I have run through the fields. Only to be with you. Only to be with you. I have run, I have crawled. I have scaled these city walls. These city walls. Only to be with you. But I still haven't found what I'm looking for. But I still haven't found what I'm looking for. I have kissed honey lips. Felt the healing fingertips. It burned like fire. This burning desire. I have spoken with the tongue of angels. I have held the hand of the devil. It was warm in the night. I was cold as a stone. But I still haven't found what I'm looking for. But I still haven't found what I'm looking for. I believe in the Kingdom Come. Then all the colours will bleed into one. Bleed into one. But yes I'm still running. You broke the bonds. And you loosed the chains. Carried the cross and. All my shame. All my shame. You know I believe it. But I still haven't found what I'm looking for. But I still haven't found what I'm looking for. But I still haven't found what I'm looking for. But I still haven't found what I'm looking for"
beautiful day,"The heart is a bloom. Shoots up through the stony ground. There's no room. No space to rent in this town. You're out of luck. And the reason that you had to care. The traffic is stuck. And you're not moving anywhere. You thought you'd found a friend. To take you out of this place. Someone you could lend a hand. In return for grace. It's a beautiful day. Sky falls, you feel like. It's a beautiful day. Don't let it get away. You're on the road. But you've got no destination. You're in the mud. In the maze of her imagination. You love this town. Even if that doesn't ring true. You've been all over. And it's been all over you. It's a beautiful day. Don't let it get away. It's a beautiful day. Touch me. Take me to that other place. Teach me. I know I'm not a hopeless case. See the world in green and blue. See China right in front of you. See the canyons broken by cloud. See the tuna fleets clearing the sea out. See the Bedouin fires at night. See the oil fields at first light and. See the bird with a leaf in her mouth. After the flood all the colors came out. It was a beautiful day. Don't let it get away. Beautiful day. Touch me. Take me to that other place. Reach me. I know I'm not a hopeless case. What you don't have you don't need it now. What you don't know you can feel it somehow. What you don't have you don't need it now. You don't need it now. Was a beautiful day"
walk on,"And love is not the easy thing. The only baggage that you can bring.... And love is not the easy thing..... The only baggage you can bring. Is all that you can't leave behind. And if the darkness is to keep us apart. And if the daylight feels like it's a long way off. And if your glass heart should crack. And for a second you turn back. Oh no, be strong. Walk on, walk on. What you got they can't steal it. No they can't even feel it. Walk on, walk on.... Stay safe tonight. You're packing a suitcase. for a place none of us has been. A place that has to be believed to be seen. You could have flown away. A singing bird in an open cage. Who will only fly, only fly for freedom. Walk on, walk on. What you've got they can't deny it. Can't sell it, or buy it. Walk on, walk on. Stay safe tonight. And I know it aches. And your heart it breaks. And you can only take so much. Walk on, walk on. Home... hard to know what it is if you've never had one. Home... I can't say where it is. but I know I'm going home. That's where the hurt is. And I know it aches. And your heart it breaks. And you can only take so much. Walk on, walk on. Leave it behind. You've got to leave it behind. All that you fashion. All that you make. All that you build. All that you break. All that you measure. All that you feel. All this you can leave behind. All that you reason, it's only time. And I'll never fill up all I find. All that you sense. All that you scheme. All you dress-up. All that you've seen. All you create. All that you wreck. All that you hate..."
sunday bloody sunday,"I can't believe the news today. I can't close my eyes, make them go away. How long?. How long must we sing this song?. How long. How long?. Tonight we can be as one. Tonight. Broken bottles under children's feet. And bodies strewn across a dead end street. But I won't heed the battle call. It puts my back up, puts my back up. Against the wall!. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. And the battles just begun. There's many lost. But tell me who has won?. The trenches dug within our hearts. And mothers, children, brothers, sisters torn apart. Sunday bloody sunday. Sunday bloody sunday. How long?. How long must we sing this song?. How long. How long?. Cause tonight we can be as one. Tonight. Tonight. Tonight. Tonight. Tonight. Wipe the tears of your eyes. Wipe your tears away. Wipe your tears away. Wipe bloodshot eyes. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. And it's true we are immune. When fact is fiction and Tv is reality. And today the millions cry. We eat and drink while tomorrow they die. The real battle just begun. To claim the victory Jesus won. On a sunday, bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday. Sunday bloody sunday"
love is all we have left,"Nothing to stop this being the best day ever. Nothing to keep us from where we should be. I wanted the world but you knew better. And that all we have is immortality. Love and love is all we have left. A baby cries on a doorstep. Love is all we have left. Love and love is all we have left. You argue 'cause you can't accept. Love is all we have left. Now you're at the other end of the telescope. Seven billion stars in her eyes. So many stars. So many ways of seeing. Hey, this is no time not to be alive. Love and love is all we have left. A baby cries on a doorstep. Love is all we have left. Love and love is all we have left. The only thing that can be kept. Love is all we have left"
every breaking wave,"Every breaking wave on the shore. Tells the next one there'll be one more. And every gambler knows that to lose. Is what you're really there for. Summer I was fearlessness. Now I speak into an answer phone. Like every falling leaf on the breeze. Winter wouldn't leave it alone. Alone. If you go?. If you go your way and I go mine. Are we so?. Are we so helpless against the tide. Baby every dog on the street. Knows that we're in love with defeat. Are we ready to be swept off our feet. And stop chasing. Every breaking wave. Every sailor knows that the sea. Is a friend made enemy. And every shipwrecked soul, knows what it is. To live without intimacy. I thought I heard the captain's voice. It's hard to listen while you preach. Like every broken wave on the shore. This is as far as I could reach. If you go?. If you go your way and I go mine. Are we so?. Are we so helpless against the tide. Baby every dog on the street. Knows that we're in love with defeat. Are we ready to be swept off our feet. And stop chasing. Every breaking wave?. The sea knows where are the rocks. And drowning is no sin. You know where my heart is. The same place that yours has been. We know that we fear to win. And so we end before we begin. Before we begin. If you go?. If you go your way and I go mine. Are we so?. Are we so helpless against the tide. Baby every dog on the street. Knows that we're in love with defeat. Are we ready to be swept off our feet. And stop chasing. Every breaking wave?"
pride (in the name of love),"One man come in the name of love. One man come and go. One man come, here to justify. One man to overthrow. In the name of love. What more in the name of love. In the name of love. What more in the name of love. One man caught on a barbed wire fence. One man here resist. One man washed up on an empty beach.. One man betrayed with a kiss. In the name of love. What more in the name of love. In the name of love. What more in the name of love. (nobody like you...). Early morning, April 4. Shot rings out in the Memphis sky. Free at last, they took your life. They could not take your pride. In the name of love. What more in the name of love. In the name of love. What more in the name of love. In the name of love"
stuck in a moment you can't get out of,"I'm not afraid of anything in this world. There's nothing you can throw at me. that I haven't already heard. I'm just trying to find a decent melody. A song that I can sing in my own company. I never thought you were a fool. But darling look at you (ohhh). You've got stand up straight carry your own weight. These tears are going nowhere baby. You've got to get yourself together. You've got stuck in a moment. and now you can't get out of it. Don't say that later will be better. now you're stuck in a moment and you can't get out of it. I will not forsake, the colours that you bring. But the nights you filled with fireworks. They left you with nothing. I am still enchanted by the light you've brought to me. I listen through your ears, and through your eyes I can see. And you are such a fool. To worry like you do (ohhh). I know it's tough, and you can never get enough. Of what you don't really need now... my oh my. You've got to get yourself together. You've got stuck in a moment and you can't get out of it. Oh love look at you now. You've got yourself stuck in a moment. and you can't get out of it. I was unconscious, half asleep. The water is warm till you discover how deep.... I wasn't jumping... for me it was a fall. It's a long way down to nothing at all. You've got to get yourself together. You've got stuck in a moment and you can't get out of it. Don't say that later will be better now. You're stuck in a moment and you can't get out of it. And if the night runs over. And if the day won't last. And if our way should falter. Along the stony pass. And if the night runs over. And if the day won't last. And if your way should falter. Along the stony pass. It's just a moment. This time will pass"
