barbara ann,Barbara Ann. Take my hand. Oh Barbara Ann. You got me rockin' and a-rollin'. rockin' and a-reelin'. Barbara Ann. Went to a dance. Looking for romance. Saw Barbara Ann. So I thought I'd take a chance. Oh Barbara Ann. Take my hand. Oh Barbara Ann. You got me rockin' and a-rollin'. rockin' and a-reelin'. Barbara Ann. With my favorite tune. Tried Mary Lou. Tried Peggy Sue. But I knew that couldn't do. Oh Barbara Ann
boys,"I been told when a boy kiss a girl,. Take a trip around the world,. Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop). My girl says when I kiss her lips,. Gets a thrill through her fingertips,. Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop). Well, I talk about boys,. Don't ya know I mean boys,. Well, I talk about boys, now,. Aaahhh, boys,. Well, I talk about boys, now,. What a bundle of joy! (Alright, George!). My girl says when I kiss her lips,. Gets a thrill through her fingertips,. Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop, m'bop bop shuop). Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop). Well, I talk about boys,. Don't ya know I mean boys,. Well, I talk about boys, now,. Aaahhh, boys,. Well, I talk about boys, now,. What a bundle of joy"
dizzy miss lizzy,"You make me dizzy, Miss Lizzy,. The way you rock and roll.. You make me dizzy, Miss Lizzy,. When you do the stroll.. Come on, Miss Lizzy,. Love me 'fore I grow too old.. Come on, give me fever.. Put your little hand in mind.. You make me dizzy, Miss Lizzy.. Ooh, girl, you look so fine.. Just a-rockin' and a-rollin'.. Girl, I said, I wish you were mine.. You make me dizzy, Miss Lizzy,. When you call my name.. Whoo, baby, shake.. You're drivin' me insane.. Come on, come on, come on, come on, baby,. I wanna be your lovin' man.. Come on and tell your Mama,. I want you to be my bride.. Go on and tell your brother,. Baby, don't run and hide.. You make me dizzy, Miss Lizzy.. Girl, I want to marry you.. Come on, give me fever.. Put your little hand in mine, girl.. You make me dizzy, dizzy Lizzy.. Girl, you look so fine.. You're just a-rockin' and a-rollin'.. Oh, I said I wish you were mine."
great balls of fire,"You shake my nerves and you rattle my brain. Too much love drives a man insane. You broke my will, but what a thrill. Goodness, gracious, great balls of fire. I laughed at love 'cause I thought it was funny. You came along and moved me honey. I've changed my mind, your love is fine. Goodness, gracious, great balls of fire. Kiss me baby, woo feels good. Hold me baby, wellllll. I want to love you like a lover should. Your fine, so kind. I want to tell the world that your mine mine mine mine. I chew my nails and I twiddle my thumbs. I'm real nervous, but it sure is fun. Come on baby, drive my crazy. Goodness, gracious, great balls of fire!!"
i found that essence rare,"Aim for the body rare, you'll see it on TV. The worst thing in 1954 was the Bikini. See the girl on the TV dressed in a Bikini. She doesn't think so but she's dressed for the H-Bomb. (For the H-Bomb). I found that essence rare, it's what I looked for. I knew I'd get what I asked for. Aim for the country fair you read it in the papers. The worst happens any week a scandal on the front page. See the happy pair smiling close like they are monkeys. They wouldn't think so but they're holding themselves down. (Hold themselves down). I found that essence rare, it's what I looked for. I knew I'd get what I asked for. I found that essence rare, it's what I looked for. I knew I'd get what I asked for. Aim for politicians fair who'll treat your vote hope well. The last thing they'll ever do act in your interest. Look at the world through your polaroid glasses. Things'll look a whole lot better for the working classes. (Working classes). I found that essence rare, it's what I looked for. I knew I'd get what I asked for. I found that essence rare, it's what I looked for"
i wanna be your man,"I wanna be your lover baby,. I wanna be your man,. I wanna be your lover baby,. I wanna be your man.. Tell me that you love me baby,. Like no other can,. Love you like no other baby,. Like no other can.. I wanna be your man,. I wanna be your man.. Tell me that you love me baby,. Tell me you understand,. Tell me that you love me baby,. I wanna be your man.. I wanna be your lover baby,. I wanna be your man,. I wanna be your lover baby,. I wanna be your man.. I wanna be your man,. I wanna be your man.. I wanna be your lover baby,. I wanna be your man,. I wanna be your lover baby,. I wanna be your man.. Tell me that you love me baby,. Like no other can,. Love you like no other baby,. Like no other can.. I wanna be your man,"
let's twist again,"Come on, let's twist again, like we did last summer. Yeah, let's twist again, like we did last year. Do you remember when, things were really hummin'. Yeah, let's twist again, twistin' time is here. Ee a round and a round and a up and down we go again. Oh, baby make me know you love me so and then. Let's twist again, like we did last summer. Yeah, let's twist again. Like we did last year. Round and ek ... Round a ek ... Round and ek .... Round and ek ... Round and .... [ dudeldidu ]. Come on, twist again, like we did last summer. Yeah, let's twist again, twistin' time is here. Ee a round and a round and a up and down we go again. Oh, baby make me know you love me so. [ uuoo ]. [ rrr]. [ oouu ]. and then. Let's twist again, like we did last summer. Yeah, let's twist again, twistin' time is here. Yeah, let's twist again, twistin' time is here. Yeah, let's twist again, twistin' time is here. bap bap"
my bonnie,My Bonnie lies over the ocean. My Bonnie lies over the sea. My Bonnie lies over the ocean. Bring back my Bonnie to me. Bring back Oh!. Bring back Oh!. Bring back my Bonnie to me Oh! (2X). My Bonnie lies over the ocean. My Bonnie lies over the sea. My Bonnie lies over the ocean. Bring back my Bonnie to me. Bring back Oh!. Bring back Oh!. Bring back my Bonnie to me Oh! (2X). Bring back Oh!. Bring back Oh!. Bring back my Bonnie to me Oh! (2X). Bring back my Bonnie to me. Bring back my Bonnie to me
nobody but me,nobody can do the shake like i do. nobody can do the twist like i do. nobody can do the boogaloo like i do. nobody can do the monkey like i do. well let me tell you that the kids are doing it. nobody doin' but me babe nobody but me. i wanna tell you that the kids are doing it. nobody doin' but me babe nobody but me. well there's nobody nobody but me. nobody - nobody. nobody - nobody. nobody - nobody. nobody - nobody. nobody - nobody. nobody - nobody. nobody - nobody. nobody - nobody no
oh carol,Oh Carol. I am but a fool. darling I love you. though you treat me cruel. You hurt me. and you make me cry. but if you leave me. I will surely die. Darling there will never be another. because I love you so. don't ever leave me. say you'll never go. I will allways want you for my sweetheart. no matter what you do. oh Carol. I'm so in love with you
