can't stop lovin' you,"There's a time and place for everything. For everyone. We can push with all our might. But nothing's gonna come. Oh no, nothing's gonna change. And if I ask you not to try. Could you let it be?. I wanna hold you and say. We can't throw this all away. Tell me you won't go. You won't go. You have to hear me say. I can't stop lovin' you. And no matter what I say or do. You know my heart is true. I can't stop lovin' you. You can change your friends. Your place for life. You can change your mind. We can change the things we say. And do any time. Oh no, but I think you'll find. That when you look inside your heart. Baby, I'll be there. Hold on. I'm holdin' on. Baby, just come on, come on, come on. I just wanna hear you say. I can't stop lovin' you. And no matter what you say or do. You know my heart is true. I can't stop lovin' you. Oh, so twisted and tied. And all I remember. Was how hard we tried. Only to surrender. And when it's over. I know how it's gonna be. And true love will never die. Not, not fade away. And I can't stop lovin' you. And no matter what I say or do. You know my heart is true. I can't stop lovin' you. And I know what I got to do. Hey, Ray, what you said is true. I can't stop lovin' you. I can't stop lovin' you"
jump,"I get up. And nothing gets me down. You got it tough. I've seen the toughest around. And I know. Baby just how you feel. You've got to ro-o-oll with the punches. and get to what's real. Ah Can't you see that standing here. I got my back against the record machine?. I ain't the worst that you've seen. Ah Can't you see what I mean?. Ah, might as well Jump (Jump!). Might as well Jump. Go ahead and Jump (Jump!). Go ahead and Jump. A-oh, hey you, who said that. Baby how you been?. You say you don't kno-o-ow. You won't know until you begin. Ah Can't you see that standing here. I got my back against the record machine?. I ain't the worst that you've seen. Ah Can't you see what I mean?. Might as well Jump (Jump!). Go ahead and Jump. Might as well Jump (Jump!). Go ahead and Jump. Jump!. Might as well Jump (Jump!). Go ahead and Jump. Might as well Jump (Jump!). Go ahead and Jump"
why can't this be love?,"Here it comes. That funny feelin' again. Windin' me up inside. Every time we touch. Hey, I don't know. Oh, tell me where to begin. 'Cause I never ever. Felt so much. And I can't recall any love at all. Oh baby, this blows 'em all away. It's got what it takes. So tell me why can't this be love?. Straight from the heart. Oh tell me why can't this be love?. I tell myself. Hey, only fools rush in. Only time will tell. If we stand the test of time. All I know. You've got to run to win. An' I'll be damned if. I'll get hung up on the line. No, I can't recall anything at all. Oh baby, this blows them all away. It's got what it takes. So tell me why can't this be love?. You want it straight from the heart. Oh tell me why can't this be love?. It's got what it takes. So tell me why can't this be love?. Straight from the heart. Oh tell me why can't this be love?. Baby, why can't this be love?. Got to know why can't this be love?. I wanna know why can't this be love?"
panama,"Jump back, what's that sound. Here she comes, full blast and top down. Hot shoe, burnin' down the avenue. Model citizen zero discipline. Don't you know she's coming home with me. You'll lose her in the turn. I'll get her. Panama, Panama. Panama, Panama. Ain't nothin' like it, her shiny machine. Got the feel for the wheel. Kept the moving parts clean. Hot shoe, burnin' down the avenue. Got an on-ramp comin' through my bedroom. Don't you know she's coming home with me. You'll lose her in the turn. I'll get her. Panama, Panama. Panama, Panama. Yeah, we're runnin' a little bit hot tonight. I can barely see the road from the heat comin' off of it. You reach down, between my legs. Ease the seat back. She's blinding, I'm flying. Right behind the rear-view mirror now. Got the feeling, power steering. Pistons popping, ain't no stopping now. Panama. Panama. Panama. Panama. Panama"
poundcake,"(Words by Van Halen). (Ain't that some shit?). (Okay, ya ready to go?). (Yeah). Oh yeah!. Yeah! She's gotta have soul. Or it won't feel right. Well, just plain, clean, and simple. Wrapped up nice n' tight. And homegrown and down-home, that makes one. Cookin' up that old time, long lost recipe for me. Woo!. It's gettin' hard to find. Guess it ain't hip enough now. You take an average guy, he can't identify, uh. And there's a short supply of her fine, fine stuff. Lemme get on, lemme get on, lemme get on some o' that. Shake it up, bake it up nice, uh!. Lemme get on, lemme get on, lemme get on all that. I so love my baby's poundcake. Homegrown and down-home, yeah that's the one. Still cookin' with that old time, long lost recipe. Lemme get on some o' that. Uh-ah uh-ho ho. Uh-ah uh-ho ho. I want some o' that. Uh-ah uh-ho ho. Gimme some o' that. Uh-ah uh-ho ho-ow!. (Guitar Solo). Ooh, got some real fine pound...poundcake. Ah. I've been out there. Tried a little bit of everything. But it's all sex without love. I found the real thing is poundcake. Homegrown and down-home, yeah that's the one. Still cookin' with that old time, long lost recipe, yeah. Woo!. She's down-home and down-home. Oh, that's my woman. Gimme some o' that. Uh-ah uh-ho ho. Uh-ah uh-ho ho. Lemme hold that. Uh-ah uh-ho ho. Uh!. Uh-ah uh-ho ho. Homegrown and down-home, woo! Come on babe. Gimme some o' that, gimme some o' that. Homegrown, way down-home. Yeah!. Uh-ah uh-ho ho, yeah, gimme some o' that. Woo!. C'mon baby. Homegrown, homegrown, down-home. Uh-ho ho."
dreams,"World turns black and white. Pictures in an empty room. Your love starts fallin' down. Better change your tune, yeah. You reach for the golden ring. Reach for the sky. Baby, just spread your wings. We'll get higher and higher. Straight up, we'll climb. We'll get higher and higher. Leave it all behind. Run, run, run away. Like a train runnin' off the track. Got the truth bein' left behind. Falls between the cracks. Standin' on broken dreams. Never losin' sight, ah. Well just spread your wings. We'll get higher and higher. Straight up, we'll climb. We'll get higher and higher. Leave it all behind. So baby dry your eyes. Save all the tears you've cried. Oh, that's what dreams are made of. 'Cause we belong in a world that must be strong. Oh, that's what dreams are made of. Yeah, we'll get higher and higher. Straight up, we'll climb. Higher and higher. Leave it all behind. We'll get higher and higher. Who knows what we'll find?. So baby dry your eyes. Save all the tears you've cried. Oh, that's what dreams are made of. Oh baby, we belong in a world that must be strong. Oh, that's what dreams are made of. And in the end on dreams we will depend. 'Cause that's what love is made of"
runnin' with the devil,"(Words by Van Halen). Yeah, Yeah!. Ah, yeah!. I live my life like there's no tomorrow. and all I've got, I had to steal. Least I don't need to beg or borrow. Yes I'm livin' at a pace that kills. Oooh, yeah. (Ahh!) Runnin' with the devil (Ahh-hah! Yeah!). (Woo-hoo-oo!) Runnin' with the devil. I'm gonna tell ya all about it. I found the simple life ain't so simple. When I jumped out, on that road. I got no love, no love you'd call real. Ain't got nobody, waitin' at home. (Ah, yeah-ah!). Runnin' with the devil. (God damn it lady. You know I ain't lyin' to ya). (I'm only gonna tell you one time-ya!). Runnin' with the devil. (Yes I am! Yeah!). (Guitar Solo). Woo!. Woo!. You know I, I found the simple life. Weren't so simple, no. When I jumped out, on that road. Got no love, no love you'd call real. Got nobody, waitin' at home. (Ah, yeah!). Runnin' with the devil. (Hold on. Hold on, I'm runnin'! Ah, yeah!). Runnin' with the devil. (Uh! Uh! Come on, one more time). (Guitar Solo). (Ha-yeah!). Runnin' with the devil. (Oh, yeah! Ya-yeah!). Runnin' with the devil. (Woo! Woo!). Runnin' with the devil. (Ah-ha, yeah! Ah-ha, yeah! Ah-hah, yeah!). Runnin' with the devil (Woo!)."
(oh) pretty woman,"Whoo!. Pretty woman, walking down the street. Pretty woman, the kind I'd like to meet. Pretty woman, I don't believe you, it must be true. No one can look as good as you. Mercy. Pretty woman, won't you pardon me?. Pretty woman, I couldn't help but see. Pretty woman. Oh you look lovely as you can be. Are you lonely just like me?. Ahhrrrr!. Pretty woman, stop awhile. Pretty woman, talk awhile. Pretty woman, give your smile to me. Pretty woman, yeah yeah yeah. Pretty woman, look my way. Pretty woman, say you'll stay with me. 'Cause I need you, need you tonight. Ah!. Pretty woman, don't walk on by. Pretty woman, don't make me cry. Pretty woman. Don't walk away-yay. Okay.. If that's the way it must be, okay. I guess I'll go on home, it's late. There'll be tomorrow night, but wait...What do I see?. She's walking back to me. Whoa, whoa, pretty woman"
you really got me,"Girl, you really got me now. You got me so I don't know what I'm doin'. Girl, you really got me now. You got me so I can't sleep at night. Girl (Girl), you really got me now. You got me so I don't know where I'm goin'. Oh yeah (Yeah), you really got me now. You got me so I can't sleep at night. You really got me (Oh!). You really got me (Whoa-oh). You really got me. Please, don't ever let me be. I only wanna be by your side. Please, don't ever let me be. I only wanna be by your side. Girl (Girl), you really got me now. You got me so I don't know what I'm doin' yeah. Oh yeah (Yeah), you really got me now. Got me so I can't sleep at night. You really got me (Ah-ha!). You really got me (Ah-ha!). You really got me. Oh, no, no, ah!. (Guitar Solo). Girl, you really got me now. You got me so I don't know what I'm doin' Ow!. Girl, you really got me now. You got me so I can't sleep at night. Girl (Girl), you really got me now. You got me so I don't know where I'm goin' yeah. Oh yeah (Yeah), you really got me now. Got me so I can't sleep at night. You really got me. You really got me (Oh!). You really got me. Oh! Oh! Oh!"
right now,"Don't wanna wait 'til tomorrow. Why put it off another day?. One more walk through problems,. Build up, and stand in our way. Oh. One step ahead, one step behind it. Now you gotta run to get even. Make future plans I'll dream about yesterday, hey!. Come on turn, turn this thing around. (Right Now !). Hey! It's your tomorrow !. (Right Now !). Come on, it's everything !. (Right Now!). Catch your magic moment. do it right here and now. It means everything.... Miss a beat, you lose a rhythm. And nothin' falls into place. Only missed by a fraction. Slipped a little off your pace. The more things you get, the more you want. Just trade in one for another. Workin' so hard to make it easy. Got to turn, come on. Turn this thing around. (Right Now !). Hey! It's your tomorrow !. (Right Now !). Come on, it's everything !. (Right Now !). Catch your magic moment. do it right here and now. It means everything.... It's enlightened me. Right now. What are you waitin' for?. Ooooh ! Yeah !. Right now !. (Right Now !). Hey! It's your tomorrow !. (Right Now !). Come on, it's everything !. (Right Now !). Catch your magic moment. and do it right here and now !. Ooooh, right now !. It's what's happening.... Right here and now !. Right now, it's right now !. Oooh. Tell me, what are you waitin' for?. Turn this thing around..."
