brown eyed girl,"Hey where did we go. Days when the rains came. Down in a hollow. Playin' a new game. Laughin' and a runnin' hey hey. Skippin' and a jumpin'. In the misty mornin' fog. With our, our hearts a thumpin'. And you my brown eyed girl. You my brown eyed girl. And what ever happened. To Tuesday and so slow. Gone down the old mine with a. Transistor radio. Standin' in the sunlight laughin'. Hidin' behind a rainbow's wall. Slippin' and a slidin'. All along the waterfall. With you my brown eyed girl. You my brown eyed girl. Do you remember when. We used to sing. Sha la la la la la la la la la la ti da (just like that). Sha la la la la la la la la la la ti da. La ti da. So hard to find my way. Now that I'm all on my own. I saw you just the other day. My, you have grown. Cast my memory back there Lord. Sometimes I'm overcome thinkin' 'bout it. Makin' love in the green grass. Behind the stadium. With you my brown eyed girl. You my brown eyed girl. Do you remember when. We used to sing. Sha la la la la la la la la la la ti da. (Bit by bit by bit by bit by bit by bit). Sha la la la la la la la la la la ti da. (SHA LA LA LA LA etc.). Sha la la la la la la la la la la ti da. etc.."
someone like you,I've been searching a long time. For someone exactly like you. I've been traveling all around the world. Waiting for you to come through. Someone like you. Make it all worth while. Someone like you. Keep me satisfied.. Someone exactly like you. I've been travellin' a hard road. Baby lookin' for someone exactly like you. I've been carryin' my heavy load. Waiting for the light to come shining through. Someone like you. Make it all worth while. Someone like you. Make me satisfied. Someone exactly like you. I've been doin' some soul searching. To find out where you're at. I've been up and down the highway. In all kinds of foreign lands. Someone like you. Make it all worth while. Someone like you. Keep me satisfied. Someone exactly like you. I've been all around the world. Marching to the beat of a different drum. But just lately I have realized. Baby the best is yet to come. Someone like you. Make it all worth while. Someone like you. Keep me satisfied. Someone exactly like you. Someone exactly like you. Someone exactly like you. Best is yet to come. Ohhhhh the best is yet to come. Someone exactly like you
moondance,"Well it's a marvelous night for a moondance. With the stars up above in your eyes. A fantabulous night to make romance. 'neath the color of October skies.. And all the leaves on the trees are falling. To the sound of the breezes that blow. And I'm trying to please to the calling. Of your heartstrings that play soft and low.. You know the nights magic, seems to whisper and hush,. You know the soft moonlight, seem to shine-In your blush. Can I just have one more moondance with you-my love?. Can I just make some more romance with you-my love?. Well I wanna make love to you tonight,. I can't wait till the morning has come. And I know now the time is just right,. and straight into my arms you will run.. And when you come my heart will be waiting,. to make sure that you're never alone. There and then all my dreams will come true dear,. There and then I will make you my own.. And everytime i touch you-you just tremble inside. then i know how much you want to want me that-. you cant hide. Can I just have one more moondance with you-my love?. Can I just make some more romance with you-my love?. (SOLOS). Well it's a marvelous night for a moondance. With the stars up above in your eyes. A fantabulous night for making romance. 'neath the color of October skies.. And all the leaves on the trees are falling. To the sound of the breezes that blow. And I'm trying to please to the calling. Of your heartstrings that play soft and low.. You know the nights magic, seems to whisper and hush. You know the soft moonlight, seems to shine-In your blush. Can I just have one more moondance with you-my love?. Can I just make some more romance with you-my love?. One more moondance with you... in the moonlight. on a magic night....... in the moonlight. on a magic night. can i just have one more moondance with you- my love."
have i told you lately?,"Have I told you lately that I love you. Have I told you theres no one above you. Fill my heart with gladness. Take away my sadness. Ease my troubles, thats what you do. Oh the morning sun in all its glory. Greets the day with hope and comfort too. And you fill my life with laughter. You can make it better. Ease my troubles thats what you do. Theres a love thats divine. And its yours and its mine. Like the sun at the end of the day. We should give thanks and pray to the one. Have I told you lately that I love you. Have I told you theres no one above you. Fill my heart with gladness. Take away my sadness. Ease my troubles, thats what you do. Theres a love thats divine. And its yours and its mine. And it shines like the sun. At the end of the day we will give thanks. And pray to the one. Have I told you lately that I love you. Have I told you theres no one above you. Fill my heart with gladness. Take away my sadness. Ease my troubles, thats what you do. Take away my sadness. Fill my life with gladness. Ease my troubles thats what you do. Fill my life with gladness. Take away my sadness. Ease my troubles thats what you do."
it's all over now baby blue,"You must leave now take what you need. You think will last. But whatever you wish to keep you better grab it fast. Yonder stands your orphan with his gun. Crying like a fire in the sun. Look out baby, the saints are comin' through. And it's all over now baby blue. The highway is for gamblers better use your sense. Take what you have gathered from coincidence. The empty handed painter from your streets. Is drawing crazy patterns on your sheets. The sky too is fallin in over you- ooo. And it's all over now baby blue. (Instrumental). Leave your stepping stones behind. There's something that calls for you. Forget the debt you left that will not follow you. Your lover who has just walked through the door. Has taken all his blankets from the floor. The carpet too is foldin' over you. And it's all over now baby blue. Well strike another match, yeah, go start a-new. Go start a-new. 'Cause it's all over now baby blue. Hey, hey, yeah. It's all over, it's all over now baby blue. It's all over, it's all over now oh yeah. FADES. It's all over now, it's all over now baby blue."
reminds me of you,"I miss you so much, I can't stand it. Seems like my heart, is breaking in two. My head says no but my soul demands it. Everything I do, reminds me of you. I miss you so much, in this house full of shadows. While the rain keeps pouring down, my window too. When will the pain, recede to the darkness. From whence it has come, and I'm feeling so blue. Ain't goin'down, no more to the well. Sometimes it feels like, I'm going to hell. Sometimes I'm knocking, on your front door. But I don't have nothing, to sell no more. Seems like the spirit, is pushing me onwards. I'm able to see, where I tripped and went wrong. I'll just have to guess, where my soul will find comfort. And I miss you so much, when I'm singing my song. Ain't goin' down, no more to the well. And sometimes it seems, I'm going to hell. You'll find me knocking, on your front door. But I don't have nothing, to sell no more. Seems like my spirit, is pushing me onwards. 'Til I'm able to see where, I tripped when I went wrong. I'll just have to guess, where my soul will get comfort. I miss you so much, when I'm singing my song. I miss you so much, I can't stand it. Seems like my heart is breaking in two. My head says no, but my soul demands it. And everything I do, reminds me of you. Everything I do, reminds me of you. Everything I do, reminds me of you."
sometimes we cry,"Sometimes we know, sometimes we don't. Sometimes we give, sometimes we won't. Sometimes we're strong, sometimes we're wrong. Sometimes we cry. Sometimes it's bad when the going gets tough. When we look in the mirror and we want to give up. Sometimes we don't even think we'll try. Sometimes we cry. Well we're gonna have to sit down and think it right through. If we're only human what more can we do. The only thing to do is eat humble pie. Sometimes we cry. 'Fore they put me in a jacket, and they take me away. I'm not gonna fake it like Johnnie Ray. Sometimes we live, sometimes we die. Sometimes we cry. Sometimes we can't see anything straight. Sometimes everybody is on the make. Sometimes it's lonely on the lost highway. Sometimes we cry, sometimes we cry. Gonna put me in a jacket, and take me away. I'm not gonna fake it like Johnnie Ray. Sometimes we live, sometimes we die. Sometimes we cry, sometimes we cry. Sometimes we live, sometimes we die. Sometimes we cry, sometimes we cry."
steal my heart away,Steal My Heart Away. . I can hear the sound of violins. I can hear the piper play. And every time the song begins. You just steal my heart away. The journey's longer than. I thought my love. There's lots of things. Get in the way. But every time I think of you. You just steal my heart away. Just like a morning. In May like this. See the heather on the hill. There's a place way up. The mountainside. Where the world. Keeps standing still. Just like the sunshine after rain. I'll come. To be with you will save the day. 'Cos I know. When I'm with you again. You just steal my heart away. Just like a morning. In May like this. We see the heather on the hill. There's a place up on. The mountainside. Where the world is. Standing still. Just like the sunshine after rain I'll come. To be with you will save the day 'cos I know. When I'm with you again. You just steal my heart away. 'Cos I know. When I m with you again. You just steal my heart away. 'Cos I know. When I'm with you again. You just steal my heart away. 'Cos I know. When I'm with you again. You just steal my heart away.
madam george,"Down on Cyprus Avenue. With a child-like vision leaping into view.. The clicking clacking of the high-heeled shoes,. Ford and Fitzroy; Madam George.. Marching with the soldierboy behind. He's much older now with hat on, drinking wine. And the smell of sweet perfume comes drifting thru. In the cool night breeze like Shalimar. And then your self control lets go. And suddenly you're up against the bathroom door.. The hallway lights are finely getting dim. You're in the front row touching him. And outside they're making all the stops. The kinds out in the streets collecting bottle tops,. Going for cigarettes and matches to the shops,. Happy talking, Madam George. And that's when you fall, Oh,. Oh, that's when you fall. And you fall into a trance. Sitting on a sofa playing games of chance. With your folded arms in history books you glance. Into the eyes of Madam George. And you think you've found your bag,. You're getting weaker and your knees begin to sag. And in the corner playing dominoes in drag,. The one and only Madam George. And outside the frosty window raps. She says ""Be cool, I think that it's the cops"". Stands up, drops everything she gots,. It's not easy now you know. Now you know you gotta go. Catch a train from Dublin up to Sandy Row,. In the wind, rain & fog & slush & snow. Keep on going on. Say good-bye we know you're pretty far out. And all the little boys comin' round. They got gold cigarette lighters in their pockets. Walking away from it all, so cool.. That's when you fall.. Fade."
i'm not feeling it anymore,"Have to get back, have to get back the base. I need to talk to somebody, I can trust. Too many cooks, are tryin' to spoil the broth. I can't feel it in my throat, that's all she wrote. I'm not feeling it no more, I'm not feeling it anymore. Not feelin' it no more, not feelin' it anymore. When I was high at the party, everything looked good. I was seein' through rose coloured glasses. Not seein' the wood for the trees. I started out in normal operation. But I just ended up in doubt. All my drinking buddies, they locked me out. I'm not feelin' it no more, I'm not feelin' it anymore. No feelin' it no more, I'm tryin' to give you the score. You see me up there baby, I'm on the screen. But I know better now, it's so unreal. If this is success, then something's awful wrong. `Cause I bought the dream and I had to play along. I'm not feelin' it no more, I'm not feelin' it anymore. I'm tryin' to give you the score, I'm not feelin' it no more. We all know that money, don't buy you love. You just get a job and somewhere to live. You have to look for happiness, within yourself. And don't go chasin' thinkin' that it is somewhere else. I'm not feelin' it no more, I'm not feelin' it anymore. Baby I'm tryin' to give you the score,. I'm not feelin' it no more. I was pretending all the time. I was givin' everybody what they wanted. And I lost my peace of mind. And all I ever wanted was simply just to be me. All you ever need is the truth. And the truth will set you free. I'm not feelin' it no more, I'm not feelin' it anymore. I'm tryin' to give you the score, just like I did before. I'm not feelin' it no more, I'm not feelin' it anymore. I'm not feelin' it no more, baby I'm just trying to give you the score. I'm not feelin' it no more, not feelin' it anymore. Not feelin' it no more. Not feelin' it no more baby.."
