supernova,"I'm waiting for you. Supernova. I'm waiting for you. Supernova. Supernova. Supernova. I'm waiting for you. Supernova. Supernova. Supernova (supernova). Drowning in the haze and I just want to get in deeper. But the stars in a million years starts falling ground. These days when I'm losing track of time. These days when I'm burning up inside. These days when I'm lost to search the skies. I'm waiting for your last goodbye. 'Cause I'm not over it, not over it. I'm waiting for your last goodbye. The kiss of time. Like thunder screaming out for a flash of lightning. Stars are falling down for God's applause. I'm waiting for the light of your supernova. Your last goodbye. I'm waiting for you, supernova, supernova, supernova. I'm waiting for you (supernova). When the [?] seeking for you. I hear it, I hear it. I'm diving deep in search [?]. I blow the ashes to free the sky. All I hear to hear goodbye. I'm waiting for your last goodbye. 'Cause I'm not over it, not over it. I'm waiting for your last goodbye. The kiss of time. Like thunder screaming out for a flash of lightning. Stars are falling down for God's applause. I'm waiting for the light of your supernova. Your last goodbye. I'm waiting for you. [?] dreaming ain't over, ain't over. I'll bring th change of gravity. Oh, I love what you fire. Yeah, I love what you fire. My heart is lost between the stars. Drowning in the haze and I just want to get in deeper. I'm waiting for your last goodbye. 'Cause I'm not over it, not over it. I'm waiting for your last goodbye. The kiss of time. Like thunder screaming out for a flash of lightning. Stars are falling down for God's applause. I'm waiting for the light of your supernova. Your last goodbye. I'm waiting for you. Supernova. I'm waiting for you. Supernova. Supernova. Supernova. I'm waiting for you. Supernova. Supernova. Supernova. Drowning in the haze. And I just want to get in deeper, deeper, deeper, deeper"
the reckoning (feat. jacoby shaddix),"As cold as stone, they march in darkness. Enslaving the young and killing their fathers. But soon they'll know the path they've chosen. Has carved their faith in stone. In blood and tears, a thousand times. We'll rise against, we'll always hold the line. Of reckoning. Red tears run down like a river. Don't close your eyes, it won't disappear. No fear you wanna end the pain. Don't let go, don't back down. Hold the line. We'll bring the reckoning. In blood and tears, a thousand times. We'll rise against, we'll always hold the line. Of reckoning. We're all alone, walking in twilight. The night has been long and so many've fallen. Feel no remorse, light will be breaking. Our freedom is worth it all. In blood and tears, a thousand times. We'll rise against, we'll always hold the line. Of reckoning. Red tears run down like a river. Don't close your eyes, it won't disappear. No fear you wanna end the pain. Don't let go, don't back down. Hold the line. We'll bring the reckoning. I see your face, find piece of mind. Between the madness and the sadness. and the fire burning. The end of war, the great divine. We'll see the day of reckoning. In blood and tears, a thousand times. We'll rise against, we'll always hold the line. In blood and tears, a thousand times. We'll rise against, we'll always hold the line. Of reckoning. (We'll bring the reckoning). In blood and tears, a thousand times. We'll rise against, we'll always hold the line. Of reckoning"
in vain,"Beautify all I know, keep on dancing. Let it all turn to gold. When the dream touches ground. The demons walk in, and I know what awaits. A priceless glory. Memento mori. All for nothing now. I know. Nothing of the heart remains. Even if we could've stayed. We've been here long enough. Long enough to know it's all in vain. Everything we tried to say. Up until the final day. I guess we said enough. Said enough to know it's all in vain. All in vain. All in vain. All in vain. All in vain. See the world through a tear, keep on breathing. Salt has dried, you're not here. Just a heartbeat away, the demons walk in. Now I know it's too late. A priceless glory. Memento mori. All for nothing now. I know. Nothing of the heart remains. Even if we could've stayed. We've been here long enough. Long enough to know it's all in vain. Everything we tried to say. Up until the final day. I guess we said enough. Said enough to know it's all in vain. All in vain. All in vain. All in vain. All in vain. Took the memories, but I can feel them fading. All our vanities, there's nothing left to save me now. I can take 'em 'cross the border. I can take 'em 'cross the border. Leaving everything we have for you to find it. Every time I walk away, I wanna turn around. I wanna turn around. Nothing of the heart remains. Even if we could've stayed. We've been here long enough. Long enough to know it's all in vain. Everything we tried to say. Up until the final day. I guess we said enough. We said enough to know it's all in vain. I guess we said enough. We said enough to know it's all in vain. All in vain. All in vain. All in vain. All in vain"
endless war,You're fighting an endless war. Hunting a miracle. And when you reach up for the stars. They just cut you down. Ooh. Looking through the glass. Cannot recognize the ghost that you were seeing. Every step you take on the burning sense. [?] Getting deeper. All the memories remain. All the pain of your broken heart. And the walls around your heart grew so strong. You can't let go. You keep crawling on. You won't let it go. So you keep holding on. To feel whole. 'Cause you're fighting an endless war. Hunting a miracle. And when you reach up for the stars. They just cut you down. 'Cause you're fighting an endless war. Hunting a miracle. [?]. [?]. Hear the whispering when your heart's beating. Like a symphony. [?]. All the memories remain. All the pain of your broken heart. And the way the you feel pulls you down. You can't let go. You keep crawling on. You won't let it go. You keep holding on. To feel whole. 'Cause you're fighting an endless war. Hunting a miracle. And when you reach up for the stars. They just cut you down. 'Cause you're fighting an endless war. Hunting a miracle. [?]. It's an endless war. They cut you down. They cut you down endless war. They cut you down. They cut you down endless war
somebody that i used to know (gotye cover),"Now and then I think of when we were together. Like when you said you felt so happy you could die. Told myself that you were right for me. But felt so lonely in your company. But that was love and it's an ache I still remember. You can get addicted to a certain kind of sadness. Like resignation to the end, always the end. So when we found that we could not make sense. Well you said that we would still be friends. But I'll admit that I was glad that it was over. But you didn't have to cut me off. Make out like it never happened. And that we were nothing. And I don't even need your love. But you treat me like a stranger. And that feels so rough. No, you didn't have to stoop so low. Have your friends collect your records. And then change your number. I guess that I don't need that though. Now you're just somebody that I used to know. Now you're just somebody that I used to know. Now you're just somebody that I used to know. Now and then I think of all the times you screwed me over. But had me believing it was always something that I'd done. And I don't wanna live that way. Reading into every word you say. You said that you could let it go. And I wouldn't catch you hung up. On somebody that you used to know.... But you didn't have to cut me off. Make out like it never happened. And that we were nothing. And I don't even need your love. But you treat me like a stranger. And that feels so rough. No, you didn't have to stoop so low. Have your friends collect your records. And then change your number. I guess that I don't need that though. Now you're just somebody that I used to know. Somebody.... I used to know. Somebody.... (Now you're just somebody that I used to know). Somebody.... I used to know. Somebody.... (Now you're just somebody that I used to know). I used to know. That I used to know. I used to know. Somebody"
all i need,"I'm dying to catch my breath. Oh why don't I ever learn?. I've lost all my trust,. though I've surely tried to turn it around. Can you still see the heart of me?. All my agony fades away. when you hold me in your embrace. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear me down. You've opened the door now, don't let it close. I'm here on the edge again. I wish I could let it go. I know that I'm only one step away. from turning it around. Can you still see the heart of me?. All my agony fades away. when you hold me in your embrace. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear it down, what's left of me. Make my heart a better place. I tried many times but nothing was real. Make it fade away, don't break me down. I want to believe that this is for real. Save me from my fear. Don't tear me down. Don't tear me down for all I need. Make my heart a better place. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear it down, what's left of me. Make my heart a better place. Make my heart a better place"
mercy mirror,"We are forever as one. In what remains. You're in my blood. From the cradle to the grave. And I don't like to think about the pieces. All the cracks and the bricks that still remain. If I could breathe. I'd ask you. To look in my mercy mirror. I need you more than I know. To look in my mercy mirror. Cause I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. My heart. My heart. Like the planet the sun forgot. We're down. Holding to the light that I have lost. More than words that the silence teaches. How to see and to feel what is real. Until somebody reaches my soul. To look in my mercy mirror. I need you more than I know. To look in my mercy mirror. Cause I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. It's a wicked game I play. How I use and turn to waste. No turning round, touching ground. What we had was so much more than I'd realize. If I could I'd embrace. Embrace you. And to look in my mercy mirror. I need you more than I know. And to look in my mercy mirror. Cause I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. Now I know, now I know. I'm not ready to let you go. I'm not ready to let you go"
holy ground,"It's been a while since I told you. That I hate you. You've turned the truth inside out. Don't turn your back when I face you. Or I'll make you. You turned my world upside down. You get inside my head. I want you out. Cause I've been betrayed on holy ground. Burying the truth with lies. Fed up how you justify. And I hate it. And I hate it. You're so despicable. when you're acting reasonable. And I hate it. And I hate it. Your words like firing guns, bullets raining. The way you hurt me 'cause you never want to face it. Your words like firing guns, bullets raining. Bullets raining. You never want to face it. What does it take now to break you. To awake you. To make you bow and spit it out. Does it matter if I hate you. Or embrace you. Nothing makes you turn around. You got inside my head. I want you out. Cause I've been betrayed on holy ground. Burying the truth with lies. Fed up how you justify. And I hate it. And I hate it. You're so despicable. when you're acting reasonable. And I hate it. And I hate it. Your words like firing guns, bullets raining. The way you hurt me 'cause you never want to face it. Your words like firing guns, bullets raining. Bullets raining. You never want to face it. The way you hurt me 'cause you never want to face it. Burying the truth with lies. Fed up how you justify. And I hate it. And I hate it. You're so despicable. when you're acting reasonable. And I hate it. And I hate it. Your words like firing guns, bullets raining. The way you hurt me 'cause you never want to face it. Your words like firing guns, bullets raining. Bullets raining. You never want to face it. Bullets raining. You never want to face it"
firelight (feat. jasper steverlinck),"I pay my dues all for truth. Can't leave it here and leave it here. and leave it here forgotten. Silence rules, spineless fools. You'll never learn, never learn, never learn to break away. Oh, why can't we rise again?. When all the days go by the firelight. We'll never fade out in the night. And we are restrained, but drawn to the flame. We are the fire to the rain. Isn't it strange that love is in the way?. It never goes away, never goes away. I paid my dues all for truce. I leave it here, leave it here, leave it here forgotten. Life, it rules over truth. We'll never learn, never learn, never learn to break away. Oh, why can't we rise again?. When all the days go by the firelight. We'll never fade out in the night. And we are restrained, but drawn to the flame. We are the fire to the rain. Isn't it strange that love is in the way?. Isn't it strange that love is in the way?. When all the days go by the firelight. We'll never fade out in the night. And we are restrained, but drawn to the flame. We are the fire to the rain. Isn't strange that love is in the way. It never goes away, away"
angels,"Sparkling angel I believed. you were my saviour in my time of need. Blinded by faith I couldn't hear. all the whispers, the warnings so clear. I see the angels. I'll lead them to your door. There's no escape now. no mercy no more. No remorse cause I still remember. the smile when you tore me apart. CHORUS. You took my heart. deceived me right from the start. You showed me dreams. I wished they would turn into real. You broke your promise and made me realize. It was all just a lie!. Sparkling angel, I couldn't see. your dark intentions, your feelings for me. Fallen angel, tell me why?. What is the reason, the thorn in your eye?. I see the angels. I'll lead them to your door. There's no escape now. no mercy no more. No remorse cause I still remember. the smile when you tore me apart. CHORUS. You took my heart. deceived me right from the start. You showed me dreams. I wished they would turn into real. You broke your promise and made me realize. It was all just a lie!. Could have been forever. Now we have reached the end!. This world may have failed you. it doesn't give you reason why. You could have chosen a different path in life. The smile when you tore me apart. CHORUS. You took my heart. deceived me right from the start. You showed me dreams. I wished they would turn into real. You broke your promise and made me realize. It was all just a lie!. Could have been forever. Now we have reached the end"
