my time is now,"[Chorus: John Cena]. Your time is up, my time is now. You can't see me, my time is now. It's the franchise, boy I'm shinin now. You can't see me, my time is now!. In case you forgot or fell off I'm still hot - knock your shell. off. My money stack fat plus I can't turn the swell off. The franchise, doin big bid'ness, I live this. It's automatic I win this - oh you hear those horns, you. finished. A soldier, and I stay under you fightin. Plus I'm stormin on you chumps like I'm thunder and lightning. Ain't no way you breakin me kid, I'm harder than nails. Plus I keep it on lock, like I'm part of the jail. I'm slaughterin stale, competition, I got the whole block wishin. they could run with my division but they gone fishin -. - with no bait, kid your boy hold weight. I got my soul straight, I brush your mouth like Colgate. In any weather I'm never better your boy's so hot. you'll never catch me in the next man's sweater. If they hate, let 'em hate, I drop ya whole clan. Lay yo' ass DOWN for the three second TAN. [Chorus]. Yeah, uhh. It's gon' be what it's gon' be. Five pounds of courage buddy, bass tint pants with a gold T. Uhh - it's a war dance and victory step. A raw stance is a gift, when you insist it's my rep. John Cena, Trademarc, y'all are so-so. And talk about the bread you make but don't know the recipe for. dough though. Aimin guns in all your photos, that's a no-no. When this pop, you'll liplock, your big talk's a blatant no-show. See what happens when the ice age melt. You see monetary status is not what matters, but it helps. I rock a timepiece by Benny if any. The same reason y'all could love me is the same reason y'all. condemn me. A man's measured by the way that he thinks. Not clothing lines, ice links, leather and minks. I spent 20 plus years seekin knowledge of self. So for now Marc Predka's livin live for wealth. [Chorus] - 2X"
we are one - nexus theme,"We walk alone. In the unknown. We live to win another victory. We are the young dying sons. We live to change the face of history. So be afraid, it's the price we pay. The only easy day was yesterday. So hear our voice, we have a choice. It's time to face it. We are one, we are one, we are one. We'll stand together. Number one, number one, the chosen ones. We are one, we are one, we'll fight forever. We are one and we won't die young. We are the bold, united souls. We live to win another victory. Our sacred scars show who we are. They tell the story of our memories. Don't be afraid, it's the price we pay. The only easy day was yesterday. So hear our voice, we have a choice. It's time to face it. We are one, we are one, we are one. We'll stand together. Number one, number one, the chosen ones. We are one, we are one, we'll fight forever. We are one and we won't die young. We walk alone. In the unknown. Our sacred scars show who we are. It's time to face it. We are one, we are one, we are one. We'll stand together. Number one, number one, the chosen ones. We are one, we are one, we'll fight forever. We are one and we won't die young. We are one, we are one, yeah. Number one, number one, and we won't die young. We are one, we are one, yeah. Number one, number one, and we won't die young"
cult of personality - cm punk,"Look in my eyes, what do you see?. the Cult of Personality. I know your anger, I know your dreams. I've been everything you wanna be ohhhâ?¦. I'm the Cult of Personality. Like Mussolini and Kennedy. I'm the Cult of Personality. the Cult of Personality. the Cult of Personality. Neon lights, Nobel Prize. When a mirror speaks, the reflection lies. You won't have to follow me. Only you can set me free. I sell the things you need to be. I'm the smiling face on your T.V. ohhâ?¦. I'm the Cult of Personality. I exploit you; still you love me. I told you one and one makes three ohhâ?¦. I'm the Cult of Personality. Like Joseph Stalin and Gandhi ohhâ?¦. I'm the Cult of Personality. the Cult of Personality. the Cult of Personality. Neon lights, Nobel Prize. When a leader speaks, that leader dies. You won't have to follow me. Only you can set you free. (Guitar solo). You gave me fortune, you gave me fame. You gave me power in your God's name. I'm every person you need to be ohhâ?¦. I'm, the, Cult, of, Per, Son, Ality. I am the Cult of (x8). Personality"
you can look (but you can't touch),"You can look, but you can't touch. you keep dreaming on the stars above. something in your eyes, lets me see right through you. there's no mystery what's on your mind. something in the way, I always make you crazy. it's a mystery. I don't know why. get out your best line. take your best shot, baby. you can bet I've heard 'em all before. don't' take it hard. when you fall flat on your face. you won't be all alone, down there on the floor. ooh-ooh-ooh ooh-ooh-ooh-ooh. ooh. cause you can look, but you can't touch. you keep dreaming on the stars above. I can see that you want me so much. but there's just no way that you can call this love. (there's just no way that you can call this love). everywhere I go, I feel your eyes behind me. trying to see the things that you can't get. I can feel your heat like an x-ray through me. I can feel your close, but you're not in yet. keep your distance. now, don't come closer. stay behind the ropes there, where you belong. you can see the garden. but you can't come in the house, babe. you're getting all excited, when you need to say come. ooh-ooh-ooh ooh-ooh-ooh-ooh. ooh. cause you can look, but you can't touch. you keep dreaming on the stars above. I can see that you want me so much. but there's just no way that you can call this love. (there's just no way that you can call this love). this is an infatuation. this is an obsession. this is not the time. it's all about possession. when you talk about heat, I know what you're speaking of. but there's just no way that you can call this love. you never see that. I never look your way. when I see you looking at me. the way that you do. when you can't turn away. when you're looking all nervous. with nothing to say. ooh-ooh-ooh ooh-ooh-ooh-ooh. ooh. cause you can look, but you can't touch. you keep dreaming on the stars above. I can see that you want me so much. but there's just no way that you can call this love. cause you can look, but you can't touch. you keep dreaming on the stars above. I can see that you want me so much. but there's just no way that you can call this love. cause you can look, but you can't touch. you keep dreaming on the stars above. I can see that you want me so much. but there's just no way that you can call this love. cause you can look, but you can't touch"
the king of kings (triple h),"Behold the King, the King of Kings.. On your knees dog. All hail.. Bow down to the, bow down to the King.. Bow down to the, bow down to the King.. The King grinned red as he walked from the blaze,. Where the traitor lost both his name and his face.. Through the halls and the corridors stinging in blood,. He tasted his grin and it tasted good.. The King took his head. Left him broken and dead.. Bow down to the, bow down to the King.. Bow down to the, bow down to the King.. Bow down to the, bow down to the King.. The King left none living, none able to tell.. The King took their heads and he sent them to hell.. Their screams echoed loud in the place of their death.. Ripped open they died. With their final breath.. They hailed to the King, the King of Kings.. Bow down to the, bow down to the King.. Bow down to the, bow down to the King.. Bow down to the, bow down to the King.. Into the dirt, his will be done.. Now feel your fear, there can be only one.. Bow down, bow down, bow down to the .... Bow down, bow down, bow down, bow down to the .... Bow down, bow down to the.... Bow down to the, bow down to the King.. Bow down to the .... Bow down, bow down, bow down.. The King is here, now feel your fear.. The King of Kings.. All hail, all hail the King.. On your knees, on your knees for the King.. The King of Kings, there is only one."
big show new theme (crank it up),"Weeeeeeeeell it's the Big Show!. It's a big bad show tonight. (oh baby, come on. oh yeah). Yeah, its the Big Show.. Crank it up, turn on them lights! (turn them on). Get ready for something. That you've never known.. You wont see it coming. But I promise you'll know.... It's the Big Show. Come to set everything right. (oh, set them right). Yeah its the Big Show.. He's gonna burn this house tonight. (oh burn it down). Your time is over.. Your times come around.. Hold your head above me.. Then I'll plant you in the ground! (yeah). Yeah!. Oh Mr. Big Show. Gonna burn it down. Oh yeah.. Listen now. Well its the Big Show!. It's a big bad show tonight. (Oh it's tonight baby). Oh yeah it's the Big Show!. Whoa crank it up turn on them lights! (oh, oh). Well get ready for something.. That you'll never know.. Too Late for running,. It's time for the show.. Gonna get even. for them lies that you told.. Time to meet your maker. cause it's hauling you home. To the Big Show.. Ohhhhh yeah!. 'til the Big Show. Oh yeah. Burn it down!. Oh, Oh, Oh yeah.. Ohh its coming.. Turn up them lights. Turn up them lights. Turn up them lights!..."
you look so good to me,"You you look so good to me. Oh. Oh you're my baby. You're my baby. Oh. Oh you're my baby. You're my baby. I cannot turn my eyes away. I cannot turn my eyes away. I hang on every word you say. I hang on every word you say. You make me want to hold you. You make me lose control. And you make my heart and soul complete. Oh. Oh baby, you look so good, good to me. Oh. Oh. Oh baby, you look so good to me. Yeah. Yeah. Oh. So fine. Sing it again. I cannot turn my eyes away. I cannot turn my eyes away. I hang on every word you say. I hang on every word you say. You make me want to hold you. You make me lose control. You make my heart and soul complete. Oh. Oh baby, you look so good, good to me. Oh. Oh. Oh baby, you look so good to me. Yeah. Yeah. Oh. . So fine. Sing it again. I cannot turn my eyes away. I cannot turn my eyes away. I hang on every word you say. I hang on every word you say. You make me want to hold you. You make me lose control. You make my heart and soul complete. . Oh. Oh baby, you look so good, good to me. Oh. Oh. Oh baby, you look so good to me. Yeah. Yeah. Oh. So fine. Sing it again. I cannot turn my eyes away. I cannot turn my eyes away. I hang on every word you say. I hang on every word you say. You make me want to hold you. You make me lose control. You make my heart and soul complete. . Oh. Oh baby, you look so good, good to me. Oh. Oh"
shawn michaels,"Oh, oh Shawn. I think I'm cute.. I know I'm sexy.. I've got the looks,. That drive the girls wild. I've got the moves, that really move 'em.. I send chills up.. Up and down their spines.. I'm just a sexy boy,. Sexy boy. I'm not your boy toy,. Boy toy. I'm just a sexy boy,. Sexy boy. I'm not your boy toy,. Boy toy. I make 'em hot.. I make 'em shiver.. Their knees get weak,. Whenever I'm around.. They see me walk,. They hear me talk,. I make 'em feel,. Like they're on cloud nine. I'm just a sexy boy,. Sexy boy. I'm not your boy toy,. Boy toy. I'm just a sexy boy,. Sexy boy. I'm not your boy toy,. Boy toy. Eat your heart out girls. Hands off the merchandise. Submitted by Lady BéHh"
welcome to the queendom,"Stila grace. I'll never gonna be the linoleum. Now welcome to the queendom. The queendom with the king bow wow. The really push the crown. You got hippie now I'm just turn that around. Making you Love me, love me, love me. The queendom with the king bow wow. They really push the crown. You got hippie now. I'm just turn that around. Making you Love me, love me, love me. Look at that girl Lays hips lips hairs. Walks with the fairs likes she just don't care. Nobody do her like she do her. Self made so paid do at her. She stuck do Stair. Chicks do too. Buck so bow step it have a gone lose. A top down cruise, . so smooth. Not an a better, boom to the ladder. You got to respect mamacita of tameika. She go better with the sweeter…, shiver Lil o'jack. Better so hot. They sweat like a sweater and a taller. Elegant for some. Ready for a drama zero. Kharma zone its all in the bank zone. Haters make a sad look. Even when he said Push and push, push out. No women no men doesn't like she can and can't put. (aha ah). The queendom with the king bow wow. They really push the crown. You got hippie now. Making you. Love me, love me, love me. The queendom with the king bow wow. They really push the crown. You got hippie now. I'm just turn that around. Making you Love me, love me, love me. Everything I see everything. But each none step, perfect down to the ladder. Stila grace I'll never gonna be the linoleum. Now welcome to the queendom"
glorious domination (bobby rhoode),"Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. And I'll do what I must. No, I won't give in. I wont give in. Oh, so glorious. Until the end. Until the end. Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. And I'll do what I must. No, I won't give in. I wont give in. Oh, so glorious. Until the end. Until the end. Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. And I'll do what I must. No, I won't give in. I wont give in. Oh, so glorious. Until the end. Until the end. Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. And I'll do what I must. No, I won't give in. I wont give in. Oh, so glorious. Until the end. Until the end. Glorious. No, I won't give in. I wont give in. 'Till I'm victorious. And I will defend. I will defend. And I'll do what I must. No, I won't give in. I wont give in. Oh, so glorious. Until the end. Until the end"
