roundabout,I'll be the round about. The words will make you out 'n' out. I spend the day your way. Call it morning driving thru the sound and in and out the valley. The muses dance and sing. They make the children really ring. I spend the day your way. Call it morning driving thru the sound and in and out the valley. In and around the lake. Mountains come out of the sky and they stand there. One mile over we'll be there and we'll see you. Ten true summers we'll be there and laughing too. Twenty four before my love you'll see I'll be there with you. I will remember you. Your silhouette will charge the view. Of distance atmosphere. Call it morning driving thru the sound and even in the valley. In and around the lake. Mountains come out of the sky and they stand there. One mile over we'll be there and we'll see you. Ten true summers we'll be there and laughing too. Twenty four before my love you'll see I'll be there with you. Along the drifting cloud the eagle searching down on the land. Catching the swirling wind the sailor sees the rim of the land. The eagles dancing wings create as weather spins out of hand. Go closer hold the land feel partly no more than grains of sand. We stand to lose all time a thousand answers by in our hand. Next to your deeper fears we stand. Surrounded by a millions years. I'll be the round about. The words will make you out 'n' out. I'll be the round about. The words will make you out 'n' out. In and around the lake. Mountains come out of the sky and they stand there. Twenty four before my love and I'll be there. I'll be the round about. The words will make you out n out. You change the day your way. Call it morning driving thru the sound and in and out the valley. In and around the lake. Mountains come out of the sky and they stand there. One mile over we'll be there and we'll see you. Ten true summers we'll be there and laughing too. Twenty four before my love you'll see I'll be there with you
owner of a lonely heart,"Move yourself. You always live your life. Never thinking of the future. Prove yourself. You are the move you make. Take your chances win or loser. See yourself. You are the steps you take. You and you and that's the only way. Shake, shake yourself. You're every move you make. So the story goes. Owner of a lonely heart. Owner of a lonely heart. Much better than a. Owner of a broken heart. Owner of a lonely heart. Say you don't want to chance it. You've been hurt so before. Watch it now the eagle in the sky. How he dancin' one and only. You, lose yourself. No not for pity's sake. There's no real reason to be lonely. Be yourself Give your free will a chance. You've got to want to succeed. Owner of a lonely heart. After my own decision. They confused me so. Owner of a lonely heart. My love said never question your will at all. In the end you've got to go Look before you leap. Owner of a lonely heart. And don't you hesitate at all, no no. Owner of a lonely heart. Sooner or later each conclusion. Will decide the lonely heart. Owner of a lonely heart. It will excite it will delight. It will give a better start. Owner of a lonely heart. Don't deceive your free will at all. Don't deceive your free will at all. Owner of a lonely heart. Don't deceive your free will at all. Just receive it"
soon,"Soon oh soon the light. Pass within and soothe the endless night. And wait here for you. Our reason to be here. Soon oh soon the time. All we move to gain will reach and calm. Our heart is open. Our reason to be here. Long ago, set into rhyme. Soon oh soon the light. Ours to shape for all time, ours the right. The sun will lead us. Our reason to be here. The sun will lead us. Our reason to be here"
love will find a way,You wanna get close to me. The feeling so clear. But I need some time to see. Vision through my tears. You wanna get next to me. I need your intrusion. I don't need to be. Blinded by confusion. Here is my heart. Waiting for you. Here is my soul. I eat at chez nous. Love will find a way. If you want it to. Love will find a way. Love will find a way for me and you. Love will find a way. Love will find a way. Love will find a way. Love will find a way. So you want to get over me. And that's how you feel. Everything you want to be. Seems so unreal. I want to be all of you. And that's the confusion. It's so hard for me. To draw a conclusion. Here is my heart. Waiting for you. Here is my soul. I eat at chez nous. Love will find a way. If you want it to. Love will find a way. Love will find a way. Love will find a way. If you want it to. Love will find a way. Love will find a way. Love will find a way. I believe that there's a way. If you want it to. Will love find a way. Love will find a way. Will love find a way. Love will find a way
awaken,"(Anderson,Howe). High vibration go on. to the sun, oh let my heart dreaming. past a mortal as me.. Where can I be?. Wish the sun to stand still.. Reaching out to touch our own being. Past a mortal as we. Here we can be. We can be here,. be here now.. Here we can be.. AWAKEN SUNS HIGH STREAM THRU AWAKEN. GENTLE STRONG DREAMS BEGIN HERE AWAKEN. MASS .)(. MASS. TOUCH STAR,SONG,AGE,LESS TOUCHING. Workings of man. set to ply out historical life.. Reregaining the flower of the fruit of his tree.. All awakening, all restoring you.. Workings of man, crying out from the fires set aflame.. By his blindness to see that the warmth of his being. is promised for his seeing, his reaching so clearly.. Workings of man. driven far from the path.. Rereleased in inhibitions. So that all is left for you. all is left for you. all is left for you. all this left for you now.. Master of things. Master of light.. Songs cast alight on you. All pure chance.. Hark thru dark ties. As exists cross divided.. That tunnel us out of sane existence. In all encircling mode.. In challenge as direct. Oh closely guided plan.. As eyes see young stars assemble. Awaken in our heart.. Master of soul. Master of time.. Set to touch. Setting sail.. All impenetrable youth. Over all of our lands.. Ask away. And as we look.. That thought be contact. Forever closer.. With all thats clear. Shall we now bid.. Be honest with yourself. Farewell, farewell.. Theres no doubt, no doubt.. High vibration go on. to the sun, oh let my heart dreaming. past a mortal as me.. Where can I be?. Wish the sun to stand still.. Reaching out to touch our own being. Past a mortal as we. Here we can be. We can be here.. Like the time I ran away. and turned around. and you were standing close to me.. Like the time I ran away. and turned around. and you were standing close to me.."
changes,I'm moving through some changes. I'll never be the same. Something you did touched me. There's no one else to blame. The love we had has fallen. The love we used to share. We've given up pretending. As if you didn't care. Change changing places. Root yourself to the ground. Capitalize on this good fortune. One word can bring you round. Changes. I look into the mirror. I see no happiness. All the warmth I gave you. Has turned to emptiness. The love we had has fallen. The love we used to share. You've left me here believing. In love that wasn't there. Change changing places. Root yourself to the ground. Word to the wise - Well you get what's coming. One word can bring you round. Changes. When I look into your eyes and try to find out how. There's no way to save it now. And everything I feel. Changes. Keep looking for. Changes. Changes. For some reason you're questioning why. I always believe it gets better. One difference between you and I. Your heart is inside your head. One word from you. One word from me. A clear design on your liberty. Who could believe when love has gone. How we move on like everyone. Only such fools. Only such jealous hearts. Only through love changes come. Change changing places. Root yourself to the ground. Capitalize on this good fortune. One word can bring you round. Changes. One road to loneliness. It's always the same. One road to happiness. It's calling your name. Change changing places - Changes. Root yourself to the ground. Capitalize on this good fortune. One word can bring you round. Changes. Change changing places. Changes. Root yourself to the ground. Word to the wise - Well you get what's coming. One word - One word can bring you round. Changes
hold on,Justice to the left of you. Justice to the right. Speak when you are spoken to. Don't pretend you're right. This life's not for living. It's for fighting and for war. No matter what the truth is. Hold on to what is yours. Jigsaw puzzle traitors. Set to spill the beans. Constitution screw up. Shattering the dreams. Blood flows in the desert. Dark citadels burning too. Watch! Look over your shoulder. This one is strictly for you. Hold on - Hold on. Wait maybe the answer's. Looking for you. Hold on - Hold on. Wait! Take you time. Think it through. Yes! I can make it through. Hold on - Hold on. Sunshine shine on through. Hold on - Hold on. Sunshine shine on you. See it through. Talk the simple smile. Such platonic eye. How they drown in incomplete capacity. Strangest of them all. When the feeling calls. How we drown in stylistic audacity. Charge the common ground. Round and round and round. We living in gravity. Shake - We shake so hard. How we laugh so loud. When we reach. We believe in eternity. I believe in eternity. Hold on - Hold on. Wait - Take your time Sunshine shine on through. See it through. Hold on - Hold on. Wait - Maybe a chance Sunshine shine on through. Is looking for you Sunshine shine on you. Hold on - Hold on. Hold on - Hold on. Sunshine - Shine on shine on you. Sunshine - Shine on through. Sunshine - Shine on shine on through. Sunshine - Shine on you. Sunshine - Shine on - Shine on you Hold on - Hold on. Sunshine - Shine on through Wait - Take your time. See it through. Sunshine - Shine on - Shine on through Hold on - Hold on. Sunshine - Shine on you Wait - Maybe the answer's looking for you.
the gates of delirium,"Stand and fight, we do consider. Reminded of an inner pact between us, that's seen as we go. And ride there, in motion. To fields in depth of honour, defending. Stand the marchers soaring talons. Peaceful lives will not deliver freedom, fighting we know. Destroy oppression, the point to reaction. As leaders look to you, attacking. Choose and renounce, throwing chains to the floor. Kill or be killing, faster sins correct the flow. Casting giant shadows off fast penetrating force. To alter via the war that's seen, as friction spans the spirits wrath ascending to redeem. Wars that shout in screams of anguish. Power spent passion bespoils our soul receiver, surely we know. In glory we rise to offer. Create our freedom, a word we utter. A word. Words cause our banner, victorious our day. Will silence be promised as violence displays. The curse increased, we fight the power and live by it by day. Our gods awake in thunderous roars and guide the Leader's hand in paths of glory to the cause. Listen, should we fight forever. Knowing as we do know, fear destroys. Listen, should we leave our children. Listen, our lives stare in silence. Help us now. Listen, your friends have been broken. They tell us of your poison, now we know. Kill them, give them as they give us. Slay them, burn their children's laughter. On to hell. The fist will run, grasp metal to gun. The spirit sings in crashing tones, we gain the battle drum. Our cries will shrill, the air will moan and crash into the dawn. The pen won't stay the demon's wings. The hour approaches, pounding out the Devil's sermon. . Soon, oh soon the light. Pass within and soothe this endless night. And wait here for you. Our reason to be here. Soon, oh soon the time. All we move to gain will reach and calm. Our heart is open. Our reason to be here. Long ago, set into rhyme. Soon, oh soon the light. Ours to shape for all time, ours the right. The sun will lead us. Our reason to be here. Soon, oh soon the light. Ours to shape for all time, ours the right. The sun will lead us. Our reason to be here."
the more we live - let go,"(Squire). You and I can change the world;. The more we live, the more we learn, the more we know.. From this moment on we share the world;. The more we give, the more we love, the more we grow.. The spirit of imagination can lead us through the dark;. The more we see, the more we try, the more we show.. The evidence of our confusion, life has left its mark;. The more we fear, the more we lie, the more we hide.. As we walk into tomorrow. (Turning away from the path we know). Holding the future with our hands. (We carry the weight of the world we go). It's up to you and I -- We hold the key; we hold the answers. All our thoughts of doubt and fear are leaving one by one. The more we live, the more we learn, the more we know.. For each of us the road is clear and life has just begun;. The more we give, the more we love, the more we grow.. It's time to reach the goals we've set for ourselves;. The more we fear, the more we lie, the more we hide.. All we need is just to believe in ourselves;. We face the truth, we see it clear, with no disguise.. Cast away our doubt and sorrow. (Turning away from the past we know). The Universe at our command. (Conserving the fate of the world we grow). Together you and I, we hold the key to all the answers. Let go. Let go. Let go. Let go. Let go."
the remembering (high the memory),"As the silence of seasons on. We relive abridge sails afloat. As to call light the soul shall sing. Of the velvet sailors course on. Of the velvet sailors course on. Shine or moons send me memories trail. Oer days of forgotten tales. Course the compass to offer. Into a time that we've all seen on. Into a time that we've all seen on. High the memory carry on. While the moments start to linger. Sail away among your dreams. The strength regains us in between our time. The strength regains us in between our time. As we shall speak to differ also. The ends meet the river's son. So the ends meet the river's son. Ours the story shall we carry on. And search the forest of the sun. We dream as we dream, dream as one. And I do think very well that the son might take you silently. They move fast, they tell me. There's someone, rainbow. Alternate tune. In the days of summer so long. We danced as evening sang their song. We wander out the day so long. And I do feel very well that the evenings take you silently. They move round, sunlight. Seeing ground. Whispers of clay, alternate ways. Softer messages bringing light. To a truth long forgotten on. As we shall speak to differ also. The ends meet the river's son. So the ends meet the river's son. I reach over and the fruit of life stands still. Stand awhile we search our past anew. The music sings of love you knew. We walk around the story. Out in the city running free. Sands of companions sides that be. The strength of the meeting lies with you. Wait all the more regard your past. Schoolgates remind us of our class. Chase all confusion away with us. Stand on hills of long forgotten yesterdays. Pass amongst your memories told returnig ways. As certain as we walk today. We walk around the story. Out in the city running free. Days pass as seconds turn the key. The strength of the moment lies with you. Don the cap and close your eyes. Imagine all the glorious challenge. Iron metal cast to others. Distant drums. Force the bit betwenn the mouth of freedom. Didn't we learn to fly. Remember to sail the skies. Distant suns. Will we reach. Winds allow. Other skylines. Other skylines to hold you. Relayer, all the dying cried before you. Relayer, we've rejoiced in all their meaning. Relayer, we advance, we retrace our stories. Like a dreamer all our lives. Are only lost begotten changes. We relive in seagull's pages. Outward ways. Things are all in colours. And the size of others shall send you forward. Arranged to sail you toward. A peace of mind. Will we reach. Winds allow. Other skylines. Other skylines to hold you. Relayer, all the passion spent on one cross. Relayer, sail the futile wars they suffer. Relayer, we advance, we retrace our story. Fail safe now. Stand on hills of long forgotten yesterdays. Pass amongst your memories told returning ways. As certain as we walk today. Press over moments leaving you. Out in the city runnig free. Days pass as seconds turn the key. The strength of the moment lies with you. Out tender outward lights of you. Shine over mountains make the view. The strength of you seeing lies with you. Ours entrance we surely carry on. And change the passing as the sun. We don't even need to try, we are one. And I do think very well as the truth unfolds you silently. They move time, rainbows. Sunlight. Alternate tune, alternate tune. Rainbows, soft light. Alternate view. Sunlight tell me. Someone. Alternate view. Alternate view. Surely, surely."
