la grange,"Rumour spreadin' a-'round in that Texas town. 'bout that shack outside La Grange. and you know what I'm talkin' about.. Just let me know if you wanna go. to that home out on the range.. They gotta lotta nice girls ah.. Have mercy.. A haw, haw, haw, haw, a haw.. A haw, haw, haw.. Well, I hear it's fine if you got the time. and the ten to get yourself in.. A hmm, hmm.. And I hear it's tight most ev'ry night,. but now I might be mistaken.. hmm, hmm, hmm, hmm.. Have mercy.. - Billy Gibbons, Dusty Hill & Frank Beard"
sharp dressed man,"Clean shirt, new shoes. and I don't know where I am goin' to. Silk suit, black tie. I don't need a reason why. They come runnin' just as fast as they can. 'cause every girl's crazy. 'bout a sharp dressed man. Gold watch, diamond ring. I ain't missin' not a single thing. And cufflinks, stick pin. when I step out I'm gonna do you in. They come runnin' just as fast as they can. 'cause every girl's crazy. 'bout a sharp dressed man. Top coat, top hat. I don't worry. 'cause my wallet's fat. Black shades, white gloves. lookin' sharp and lookin' for love. They come runnin' just as fast as they can. 'cause every girl's crazy. 'bout a sharp dressed man"
gimme all your lovin',I got to have a shot. of what you got is oh so sweet. You got to make it hot. like a boomerang I need a repeat. Gimme all your lovin'. all your hugs and kisses too. Gimme all your lovin'. don't let up until we're through. You got to whip it up. and hit me like a ton of lead. If I blow my top. will you let it go to your head?. Gimme all your lovin'. all your hugs and kisses too. Gimme all your lovin'. don't let up until we're through. You got to move it up. and use it like a screwball would. You got to pack it up. work it like a new boy should. Gimme all your lovin'. all your hugs and kisses too. Gimme all your lovin'. don't let up until we're through
legs,"She's got legs. she knows how to use them. She never begs. she knows how to choose them. She's holdin' legs. wonderin' how to feel them. Would you get behind them. if you could only find them?. She's my baby. she's my baby. yeah, it's alright. She's got hair. down to her fanny. She's kinda jet set. try undo her panties. Everytime she's dancin'. she knows what to do. Everybody wants to see. if she can use it. She's so fine. she's all mine. girl, you got it right. She's got legs. she knows how to use them. She never begs. she knows how to choose them. She's got a dime all of the time. stays out at night. movin' through time. Oh, I want her, said. I got to have her. the girl is alright. she's alright"
i gotsta get paid,"25 lighters on my dresser yessir I gots to get paid. 25 lighters on my dresser yessir I gots to get paid. I got 25 lighters for my 25 folks. Bout to break the mic then break 25 mo'. Bout to rip the track wit bout 25 flows. and I'm pimpin like a mac wit bout 25 hoes. 25 fly carat diamonds in my ring. 25 twelves in the trunk got to bang. Make moves to make a quick 25 mill. Come up so I can knock off big nine-nine Seville. Bout to take me bout 25 yellow bones home. Doin bad to make them 25 phone home. Call daddy sayin 25 got to go get 'em, get 'em. DMD done put it down 25 out the door. Hittin the highway doin 25 shows. 25 Lil Mo's slammin 25 doors. Representin fo' those holdin 25 screws in they deck. I'ma wreck and rip 25 crews quick. . 25 lighters on my dressa yessir, I gots to get paid. We got 25 lighters on the dresser yessir gots to get paid"
tush,"Yeah. I been up, I been down.. Take my word, my way around.. I ain''t askin' for much.. I said, Lord, take me downtown,. I'm just lookin' for some tush.. I been bad, I been good,. Dallas, Texas, Hollywood.. I ain't askin' for much.. I said, Lord, take me downtown,. I'm just lookin' for some tush.. Take me back way back home,. not by myself, not alone.. I ain't askin' for much.. I said, Lord, take me downtown,. I'm just lookin' for some tush."
black fly,"Starts with a typical ZZ riff, sounds like ZZ meets James Bond.. Black fly buzzin', buzzin' around. Black fly flyin' from town to town. Black fly lookin' around and around. What's he gonna do when he finds her?. He got the mojo workin' overtime. Makin' it, layin' it on the line. Chasin' his honey with a honeysuckle vine. Who's so lucky and gets to kiss her?. Black fly, that's right. Black fly, that's right. Flyin' round lookin' for a black cat bone. Flyin' with John the conquerer showin'. Messin' around with a honey-bee. Will she kiss him or sting him, what's it gonna be?. Black fly, that's right. Black fly, that's right. Black fly buzzin, buzzin' around. Black fly flyin' from town to town. Black fly zzzzz'n all around. Fly gonna fly when he find her. Black fly, that's right. Black fly, that's right. Black fly, that's right. Black fly, yeah that's alright."
rough boy,What in the world's come all over me?. I ain't got a chance of one in three. Ain't got no rap. ain't got no line. but if you'll give me. just a minute. I'll be feelin' fine. I am the one. who can fade the heat. the one they all say. just can't be beat. I'll shoot it to you straight. and look you in the eye. So gimme just a minute. and I'll tell you why. I'm a rough boy. I'm a rough boy. I don't care. how you look at me. because I'm the one. and you will see. we can make it work. we can make it by. So give me one more minute. and I'll tell you why. I'm a rough boy. I'm a rough boy
bad girl,"See that girl with the red dress on,. she can do it all night long,. she's a bad girl, she's a bad girl.. I know a girl that likes to flirt,. she can do it in a mini skirt.. She's a bad girl, she's a bad girl.. Ain't it a shame when a girl goes bad,. it's enough to drive you mad.. Yesterday I was playin' it cool. but she played me for a first class fool,. she's a bad girl, she's a bad girl.. I'm gonna tell you like I told some friends. I'm goin' back to dig her again.. She's a bad girl, she's a bad girl.. Ain't it a shame when a girl goes bad,. it's enough to drive you mad.. I know a girl with a GTO,. she's the one that go cat go,. she's a bad girl, she's a bad girl.. See the girl dressed in green,. she's the one that's a mean machine,. she's a bad girl, she's a bad girl.. Ain't it a shame when a girl goes bad,. it's enough to drive you mad."
just got paid,"I just got paid today,. got me a pocket full of change.. Said, I just got paid today,. got me a pocket full of change.. If you believe like workin' hard all day,. just step in my shoes and take my pay.. I was born my papa's son,. when I hit the ground I was on the run.. I had one glad hand and the other behind.. You can have yours, just give me mine.. When the hound dog barkin' in the black of the night,. stick my hand in my pocket, everything's all right.. I just got paid today,. got me a pocket full of change.. Said, black sheep, black, do you got some wool?. Yes, I do, man, my bag is full.. It's the root of evil and you know the rest. but it's way ahead of what's second best.. - Billy Gibbons & Bill Ham."
